Player,Min,Deflections,off_LB,def_LB,charges,contested_shots,Season
Aaron Holiday,1617,111,22,24,3,412,2019-20
Mo Bamba,878,34,15,13,0,412,2019-20
Devin Booker,2512,94,38,29,4,411,2019-20
Kyle Kuzma,1526,39,16,21,6,403,2019-20
Marcus Smart,1919,192,26,50,12,403,2019-20
Spencer Dinwiddie,1994,71,22,40,2,399,2019-20
Trey Lyles,1271,50,19,17,1,399,2019-20
Collin Sexton,2143,110,41,24,1,395,2019-20
Will Barton,1916,90,24,35,1,394,2019-20
Bobby Portis,1394,52,19,15,1,392,2019-20
Derrick Jones Jr.,1375,118,19,29,4,390,2019-20
Jamal Murray,1904,123,34,39,5,390,2019-20
Garrett Temple,1730,101,26,29,2,388,2019-20
Tony Snell,1641,94,10,18,0,383,2019-20
Taurean Prince,1857,120,22,30,10,381,2019-20
Mason Plumlee,1057,80,11,9,7,378,2019-20
Eric Bledsoe,1646,99,31,39,3,374,2019-20
Kyle Anderson,1330,99,15,24,2,374,2019-20
Bojan Bogdanovic,2083,57,29,24,3,373,2019-20
Kelly Olynyk,1300,87,13,23,12,373,2019-20
Cory Joseph,1759,106,29,30,5,372,2019-20
Bruce Brown,1634,146,21,25,1,371,2019-20
Grant Williams,1043,51,20,9,5,369,2019-20
Zach LaVine,2085,124,25,28,0,369,2019-20
Jimmy Butler,1959,197,51,32,1,368,2019-20
Anfernee Simons,1449,38,23,18,1,360,2019-20
Tony Bradley,663,26,9,4,0,360,2019-20
Rondae Hollis-Jefferson,1122,91,30,23,3,359,2019-20
Troy Brown Jr.,1782,135,29,35,2,358,2019-20
Darius Garland,1824,70,25,33,5,355,2019-20
Khris Middleton,1853,113,23,28,6,355,2019-20
Eric Paschall,1654,69,20,19,3,354,2019-20
Ja Morant,2074,99,29,38,3,352,2019-20
Marcus Morris Sr.,1936,89,30,29,6,351,2019-20
Taj Gibson,1025,44,20,17,0,348,2019-20
Marvin Williams,1129,73,9,12,6,347,2019-20
Terry Rozier,2165,96,42,51,0,347,2019-20
Danilo Gallinari,1834,65,19,18,10,346,2019-20
Donovan Mitchell,2364,131,41,29,3,346,2019-20
Maurice Harkless,1427,135,14,22,0,344,2019-20
Dennis Schroder,1999,90,27,37,12,343,2019-20
Evan Fournier,2076,134,33,33,5,343,2019-20
Alec Burks,1754,108,21,29,3,340,2019-20
Ricky Rubio,2016,175,33,39,8,338,2019-20
Thon Maker,776,52,14,8,2,338,2019-20
Isaac Bonga,1250,88,18,21,11,332,2019-20
Kyle Lowry,2098,173,33,34,34,332,2019-20
Aaron Gordon,2017,63,33,34,1,330,2019-20
Langston Galloway,1702,86,26,36,7,330,2019-20
Joe Ingles,2137,164,31,29,7,328,2019-20
Doug McDermott,1372,21,14,12,2,327,2019-20
T.J. Warren,2202,195,32,41,4,326,2019-20
Enes Freedom,983,39,16,15,0,325,2019-20
Wesley Matthews,1635,92,12,22,6,325,2019-20
Josh Okogie,1547,135,24,39,3,324,2019-20
Luka Doncic,2047,94,39,33,2,323,2019-20
Jordan Clarkson,1705,78,36,23,0,319,2019-20
Donte DiVincenzo,1520,148,39,32,1,315,2019-20
Goran Dragic,1663,76,26,25,7,315,2019-20
Ben McLemore,1619,80,19,22,3,314,2019-20
Damian Lillard,2474,136,33,33,6,310,2019-20
Jarrett Culver,1506,105,33,22,1,310,2019-20
Cam Reddish,1551,139,25,36,0,309,2019-20
Nicolo Melli,1042,69,14,13,1,309,2019-20
Delon Wright,1570,172,33,26,3,305,2019-20
Devonte' Graham,2211,129,30,28,13,304,2019-20
JaMychal Green,1307,61,13,9,0,304,2019-20
Carmelo Anthony,1902,86,33,13,1,303,2019-20
Matisse Thybulle,1287,167,14,41,0,296,2019-20
Coby White,1674,86,28,33,4,295,2019-20
Furkan Korkmaz,1559,72,8,20,6,295,2019-20
Torrey Craig,1072,47,15,13,0,295,2019-20
Kevin Knox II,1166,32,12,11,0,290,2019-20
Tomas Satoransky,1878,132,43,35,7,290,2019-20
DeMar DeRozan,2316,119,36,32,3,284,2019-20
George Hill,1271,91,14,32,4,280,2019-20
Ish Smith,1787,98,25,47,6,279,2019-20
LeBron James,2316,129,30,48,10,274,2019-20
Markieff Morris,1188,70,12,23,1,274,2019-20
Brad Wanamaker,1369,138,13,22,2,262,2019-20
Ersan Ilyasova,986,55,10,15,11,262,2019-20
Terrence Ross,1889,133,16,33,0,261,2019-20
Semi Ojeleye,1011,35,11,12,12,260,2019-20
Lou Williams,1864,86,24,26,6,257,2019-20
Alex Caruso,1175,131,14,32,10,253,2019-20
Trae Young,2120,105,35,36,13,252,2019-20
Justin Jackson,1045,27,16,12,0,250,2019-20
Solomon Hill,1088,87,16,22,0,243,2019-20
Tyus Jones,1232,76,13,20,1,243,2019-20
James Ennis III,1266,62,25,14,4,241,2019-20
Seth Curry,1576,90,20,23,4,238,2019-20
Terence Davis,1209,70,23,26,3,235,2019-20
Jeff Teague,1464,82,14,21,5,234,2019-20
Austin Rivers,1594,94,16,19,3,229,2019-20
Gary Trent Jr.,1332,115,15,21,0,229,2019-20
Bryn Forbes,1579,61,18,34,0,228,2019-20
JJ Redick,1581,44,13,19,14,222,2019-20
De'Anthony Melton,1167,155,19,26,0,221,2019-20
Kentavious Caldwell-Pope,1762,107,22,32,3,219,2019-20
Lonnie Walker IV,988,53,12,12,0,219,2019-20
Monte Morris,1637,89,22,21,4,219,2019-20
Mike Scott,1207,37,11,25,0,214,2019-20
Georges Niang,923,30,19,8,1,212,2019-20
Jerome Robinson,979,56,9,11,1,210,2019-20
Patrick Patterson,776,13,5,9,4,206,2019-20
T.J. McConnell,1326,127,20,35,5,199,2019-20
Chris Paul,2208,234,27,59,4,184,2019-20
Vince Carter,876,61,7,7,1,180,2019-20
Kyle Korver,960,59,9,11,5,179,2019-20
Frank Jackson,797,38,13,12,1,171,2019-20
Patty Mills,1485,75,24,26,6,155,2019-20
Jevon Carter,945,88,15,24,0,152,2019-20
Ryan Arcidiacono,930,48,8,24,19,139,2019-20
Brook Lopez,2322,82,28,32,0,1561,2018-19
Rudy Gobert,2577,127,34,25,4,1282,2018-19
Jarrett Allen,2096,78,33,22,0,1257,2018-19
Karl-Anthony Towns,2545,121,50,56,3,1134,2018-19
Steven Adams,2669,179,63,55,0,1133,2018-19
LaMarcus Aldridge,2687,90,40,35,0,1103,2018-19
Andre Drummond,2647,225,47,52,1,1025,2018-19
Montrezl Harrell,2158,94,49,37,19,999,2018-19
Clint Capela,2249,71,52,44,4,925,2018-19
Jusuf Nurkic,1974,131,33,47,0,923,2018-19
Deandre Ayton,2183,89,47,50,0,917,2018-19
Myles Turner,2119,108,26,32,1,893,2018-19
Derrick Favors,1766,81,39,29,0,887,2018-19
JaVale McGee,1671,83,22,19,1,877,2018-19
Serge Ibaka,2010,53,32,30,0,869,2018-19
Nikola Vucevic,2510,127,52,30,0,853,2018-19
Joel Embiid,2154,79,54,36,1,834,2018-19
Pascal Siakam,2548,131,49,62,1,807,2018-19
Nikola Jokic,2504,195,42,40,5,795,2018-19
Al Horford,1973,94,18,39,0,794,2018-19
Jerami Grant,2612,89,37,45,12,794,2018-19
Draymond Green,2065,212,22,51,11,766,2018-19
Thaddeus Young,2489,263,49,47,23,753,2018-19
Kevon Looney,1481,57,32,33,0,741,2018-19
Marc Gasol,2436,131,30,44,27,741,2018-19
Alex Len,1544,40,21,13,0,735,2018-19
Mitchell Robinson,1360,90,21,26,3,735,2018-19
Nemanja Bjelica,1788,125,24,19,0,735,2018-19
Dwight Powell,1663,88,37,38,3,722,2018-19
Robin Lopez,1606,25,20,7,0,716,2018-19
Hassan Whiteside,1674,75,32,17,0,711,2018-19
Julius Randle,2232,78,38,48,2,710,2018-19
Tobias Harris,2848,87,39,38,0,695,2018-19
Willie Cauley-Stein,2213,175,36,36,2,692,2018-19
Giannis Antetokounmpo,2358,152,61,55,1,685,2018-19
Jeff Green,2097,69,19,21,12,683,2018-19
Jakob Poeltl,1273,54,21,19,5,681,2018-19
Danny Green,2215,132,22,38,7,667,2018-19
Marvin Williams,2133,138,24,46,0,666,2018-19
Thomas Bryant,1496,48,23,23,2,666,2018-19
P.J. Tucker,2802,194,36,72,24,665,2018-19
Dario Saric,2022,90,38,33,2,654,2018-19
Paul George,2841,292,71,89,5,654,2018-19
Andrew Wiggins,2543,121,46,47,0,650,2018-19
John Collins,1828,42,41,17,0,640,2018-19
Bam Adebayo,1913,117,39,21,0,637,2018-19
Buddy Hield,2615,119,47,51,0,631,2018-19
Derrick White,1728,132,27,27,9,630,2018-19
Harrison Barnes,2533,98,32,38,1,629,2018-19
Jaren Jackson Jr.,1515,78,34,33,0,625,2018-19
Zach Collins,1356,46,31,12,0,622,2018-19
Dewayne Dedmon,1609,138,37,34,4,615,2018-19
Bradley Beal,3028,202,62,77,12,613,2018-19
Kevin Durant,2702,118,35,40,3,609,2018-19
Dorian Finney-Smith,1985,116,29,40,3,607,2018-19
Maxi Kleber,1502,53,19,21,5,604,2018-19
Justin Holiday,2607,185,27,55,1,603,2018-19
Paul Millsap,1895,148,32,35,4,602,2018-19
Al-Farouq Aminu,2292,155,43,37,2,601,2018-19
Jayson Tatum,2455,154,33,50,0,601,2018-19
Kyle Kuzma,2314,50,28,37,7,597,2018-19
Kemba Walker,2863,156,45,88,27,589,2018-19
Josh Richardson,2539,185,45,54,1,588,2018-19
Danilo Gallinari,2059,94,28,25,12,582,2018-19
Cedi Osman,2444,99,31,42,7,578,2018-19
Jonathan Isaac,1996,139,23,33,5,578,2018-19
Jrue Holiday,2402,211,48,52,2,578,2018-19
Domantas Sabonis,1838,75,37,35,0,576,2018-19
Nicolas Batum,2354,142,25,42,1,575,2018-19
Larry Nance Jr.,1795,187,45,44,3,571,2018-19
Davis Bertans,1632,64,16,20,1,570,2018-19
Mike Muscala,1306,39,9,11,0,570,2018-19
Josh Hart,1715,101,29,39,1,567,2018-19
CJ McCollum,2375,80,44,46,0,565,2018-19
Joe Harris,2294,54,33,44,2,564,2018-19
Shai Gilgeous-Alexander,2174,158,43,55,1,564,2018-19
Marvin Bagley III,1568,50,33,25,0,561,2018-19
Noah Vonleh,1722,77,29,46,4,558,2018-19
Taj Gibson,1686,81,42,30,0,558,2018-19
Marcus Smart,2200,228,29,54,14,557,2018-19
Richaun Holmes,1184,85,18,20,0,543,2018-19
Kelly Olynyk,1812,118,26,28,15,542,2018-19
Collin Sexton,2605,87,47,42,1,541,2018-19
DeAndre Jordan,2047,72,32,26,2,541,2018-19
Blake Griffin,2622,102,57,44,30,538,2018-19
Mason Plumlee,1731,131,40,29,5,529,2018-19
Mikal Bridges,2417,223,28,75,0,529,2018-19
James Harden,2867,277,47,73,6,528,2018-19
Ivica Zubac,1039,27,11,10,1,521,2018-19
Ben Simmons,2700,215,65,69,0,517,2018-19
Enes Freedom,1639,53,33,18,0,517,2018-19
Kevin Knox II,2158,62,30,36,0,512,2018-19
Aaron Gordon,2633,101,48,47,1,509,2018-19
Jeremy Lamb,2250,160,34,44,1,507,2018-19
Terrance Ferguson,1931,61,11,35,0,506,2018-19
Bojan Bogdanovic,2573,94,25,43,3,502,2018-19
Evan Fournier,2553,114,40,46,1,502,2018-19
Dennis Schroder,2314,113,38,43,14,494,2018-19
Josh Jackson,1988,114,26,35,12,493,2018-19
Jimmy Butler,2185,198,45,47,1,491,2018-19
Jamal Murray,2447,123,43,53,4,486,2018-19
Ed Davis,1446,50,35,27,0,483,2018-19
Miles Bridges,1696,83,17,21,0,483,2018-19
Jordan Clarkson,2215,97,32,34,1,478,2018-19
Tomas Satoransky,2164,133,45,33,2,474,2018-19
Reggie Jackson,2289,78,37,38,7,472,2018-19
Nerlens Noel,1056,149,20,18,5,463,2018-19
Cory Joseph,2063,122,32,61,1,460,2018-19
Eric Bledsoe,2272,197,50,42,3,460,2018-19
Klay Thompson,2652,166,29,52,1,456,2018-19
Luka Doncic,2318,145,51,50,8,454,2018-19
Mike Conley,2342,148,56,63,5,452,2018-19
Jae Crowder,2166,93,25,54,6,451,2018-19
Jabari Parker,1724,66,25,40,0,450,2018-19
Tim Hardaway Jr.,2057,83,27,44,18,447,2018-19
Gorgui Dieng,1031,87,30,25,6,444,2018-19
Justise Winslow,1960,107,38,49,5,443,2018-19
Kelly Oubre Jr.,1935,208,25,31,6,440,2018-19
De'Aaron Fox,2546,206,45,74,0,439,2018-19
Jaylen Brown,1913,122,28,41,3,439,2018-19
Thon Maker,972,36,17,10,0,438,2018-19
Kevin Huerter,2049,118,36,45,0,437,2018-19
Landry Shamet,1802,60,13,24,1,437,2018-19
Marcus Morris Sr.,2091,75,24,32,0,436,2018-19
Patrick Beverley,2137,168,28,60,8,434,2018-19
Garrett Temple,2041,149,26,44,2,431,2018-19
Josh Okogie,1757,158,20,42,13,431,2018-19
Michael Kidd-Gilchrist,1179,50,27,23,8,431,2018-19
Terrence Ross,2150,119,24,42,0,431,2018-19
D'Angelo Russell,2448,177,46,41,0,429,2018-19
Donovan Mitchell,2598,178,47,64,0,426,2018-19
Kawhi Leonard,2040,193,41,60,0,426,2018-19
Rudy Gay,1842,126,24,34,3,426,2018-19
Trae Young,2503,103,49,62,4,426,2018-19
DeMar DeRozan,2688,151,33,49,0,419,2018-19
Jahlil Okafor,935,19,12,10,0,419,2018-19
Torrey Craig,1503,75,36,38,1,417,2018-19
Khris Middleton,2393,136,31,35,1,415,2018-19
Marco Belinelli,1815,66,21,18,0,412,2018-19
Darius Miller,1757,87,16,33,2,411,2018-19
Zach LaVine,2171,103,31,34,0,411,2018-19
Daniel Theis,908,39,14,12,2,408,2018-19
Juancho Hernangomez,1358,46,19,22,1,408,2018-19
Rondae Hollis-Jefferson,1234,78,24,25,2,407,2018-19
Damian Lillard,2838,171,52,64,6,402,2018-19
Malcolm Brogdon,1832,64,41,35,0,402,2018-19
Bruce Brown,1449,87,23,27,0,400,2018-19
Joe Ingles,2568,212,24,56,0,398,2018-19
Wesley Matthews,2091,101,39,40,7,397,2018-19
Ricky Rubio,1899,201,37,62,4,396,2018-19
Gordon Hayward,1863,72,15,42,0,392,2018-19
Pat Connaughton,1261,53,25,26,0,388,2018-19
Ante Zizic,1082,17,13,17,0,387,2018-19
Maurice Harkless,1415,115,15,33,0,384,2018-19
Bogdan Bogdanovic,1947,159,27,26,1,381,2018-19
Evan Turner,1606,52,22,25,0,380,2018-19
Trevor Ariza,2349,168,38,46,2,380,2018-19
Langston Galloway,1745,63,32,33,2,379,2018-19
Shaquille Harrison,1430,148,21,59,0,379,2018-19
Spencer Dinwiddie,1914,82,26,23,1,375,2018-19
Justin Jackson,1613,31,18,37,1,374,2018-19
Trey Lyles,1120,35,10,22,1,373,2018-19
Bryn Forbes,2293,74,29,43,0,371,2018-19
Boban Marjanovic,681,17,6,5,0,369,2018-19
Ersan Ilyasova,1231,82,11,19,49,369,2018-19
Derrick Jones Jr.,1154,85,23,22,1,367,2018-19
Delon Wright,1698,164,24,46,1,366,2018-19
Gerald Green,1473,53,11,31,0,364,2018-19
OG Anunoby,1352,101,19,20,3,364,2018-19
Fred VanVleet,1760,138,19,41,0,359,2018-19
JJ Redick,2379,50,27,26,10,359,2018-19
Stephen Curry,2331,166,44,59,11,358,2018-19
Kyrie Irving,2214,170,51,67,12,357,2018-19
Royce O'Neale,1671,79,18,38,1,357,2018-19
DeAndre' Bembry,1931,201,38,57,1,356,2018-19
Monte Morris,1970,110,24,45,7,356,2018-19
Jordan Bell,788,49,15,15,5,355,2018-19
Ryan Arcidiacono,1961,94,19,45,16,355,2018-19
Malik Beasley,1879,91,29,37,4,354,2018-19
Rodney McGruder,1550,47,24,29,3,354,2018-19
Kyle Lowry,2213,144,29,78,23,353,2018-19
Markieff Morris,1271,66,20,20,5,353,2018-19
Austin Rivers,2028,94,13,37,5,351,2018-19
Kent Bazemore,1643,143,40,51,6,351,2018-19
DeMarre Carroll,1703,72,27,23,4,350,2018-19
Rodions Kurucs,1294,107,17,24,0,347,2018-19
Emmanuel Mudiay,1607,86,26,30,6,346,2018-19
Reggie Bullock Jr.,1879,50,15,34,3,343,2018-19
Rodney Hood,1893,105,15,23,4,343,2018-19
Darren Collison,2143,158,33,58,3,341,2018-19
Russell Westbrook,2629,226,72,62,5,341,2018-19
Damyean Dotson,2004,92,31,34,3,337,2018-19
Devin Booker,2242,81,32,40,5,337,2018-19
Dwyane Wade,1885,117,39,39,0,337,2018-19
Mario Hezonja,1206,98,19,18,1,334,2018-19
Alec Burks,1375,75,12,19,0,327,2018-19
Meyers Leonard,878,21,15,5,0,325,2018-19
Mike Scott,1396,47,18,22,0,324,2018-19
Tony Snell,1304,60,19,19,0,323,2018-19
Jared Dudley,1220,51,8,21,7,322,2018-19
Willy Hernangomez,812,26,10,16,0,320,2018-19
Cheick Diallo,896,35,16,22,1,319,2018-19
Wayne Selden,1439,50,14,21,5,317,2018-19
Jeremy Lin,1436,74,26,40,16,311,2018-19
Jonas Jerebko,1218,38,22,17,10,305,2018-19
Andre Iguodala,1578,114,28,48,2,304,2018-19
Zaza Pachulia,878,70,12,13,4,304,2018-19
Jalen Brunson,1591,63,20,28,12,302,2018-19
JaMychal Green,1371,78,17,23,4,297,2018-19
Avery Bradley,1905,102,29,30,4,296,2018-19
Vince Carter,1330,82,13,20,6,296,2018-19
George Hill,1302,81,20,24,0,294,2018-19
Tyreke Evans,1402,100,26,40,4,294,2018-19
Jake Layman,1327,62,20,22,6,291,2018-19
Eric Gordon,2158,94,21,29,2,289,2018-19
Wes Iwundu,1233,62,13,20,1,288,2018-19
Doug McDermott,1340,19,10,11,0,286,2018-19
Patrick Patterson,861,17,3,9,0,284,2018-19
Terry Rozier,1791,97,19,46,3,279,2018-19
Lou Williams,1993,95,21,46,0,277,2018-19
Harry Giles III,820,51,9,18,0,272,2018-19
Tyus Jones,1560,127,13,41,4,271,2018-19
Kyle Korver,1334,57,11,8,5,269,2018-19
Kentavious Caldwell-Pope,2035,105,34,47,5,267,2018-19
Allonzo Trier,1459,48,20,28,3,265,2018-19
Cristiano Felicio,746,13,11,10,0,264,2018-19
Patty Mills,1908,94,32,45,9,262,2018-19
D.J. Augustin,2269,61,32,44,6,261,2018-19
T.J. McConnell,1470,146,23,38,1,259,2018-19
Dante Cunningham,928,39,16,19,1,251,2018-19
James Ennis III,1230,88,19,27,2,249,2018-19
Iman Shumpert,1481,116,27,34,0,238,2018-19
Anthony Tolliver,1079,28,7,16,14,237,2018-19
Norman Powell,1126,69,12,25,0,236,2018-19
Trey Burke,1125,54,17,23,0,234,2018-19
Nik Stauskas,1015,30,16,10,0,231,2018-19
Abdel Nader,694,31,13,12,1,230,2018-19
Frank Jackson,1169,27,18,29,0,224,2018-19
Luke Kennard,1437,56,10,25,0,223,2018-19
Alfonzo McKinnie,1003,44,13,19,3,221,2018-19
Stanley Johnson,1207,96,19,38,0,220,2018-19
Malik Monk,1258,60,10,26,1,217,2018-19
Seth Curry,1399,78,25,26,2,216,2018-19
Sterling Brown,1034,74,17,28,0,216,2018-19
Chris Paul,1857,192,32,39,4,207,2018-19
Shaun Livingston,967,43,11,16,0,204,2018-19
T.J. Leaf,522,17,4,8,0,200,2018-19
Tim Frazier,1120,69,20,22,4,197,2018-19
Jerian Grant,939,78,13,11,2,194,2018-19
Ian Clark,973,37,13,12,0,193,2018-19
Lance Stephenson,1123,48,15,25,0,189,2018-19
Quinn Cook,1059,34,19,22,0,188,2018-19
Yogi Ferrell,1067,55,14,17,7,155,2018-19
Tyrone Wallace,628,33,11,10,0,138,2018-19
Jamal Crawford,1211,37,11,14,0,123,2018-19
Georges Niang,516,18,6,10,0,121,2018-19
Devin Harris,1071,69,13,23,15,115,2018-19
Sindarius Thornwell,313,30,3,7,1,79,2018-19
Karl-Anthony Towns,2918,118,51,64,17,1185,2017-18
Anthony Davis,2727,180,51,60,12,1071,2017-18
Steven Adams,2487,173,56,47,0,1021,2017-18
Clint Capela,2034,75,48,38,8,958,2017-18
LaMarcus Aldridge,2509,112,45,33,0,945,2017-18
Nikola Jokic,2443,185,51,41,8,943,2017-18
Brook Lopez,1735,75,17,19,0,932,2017-18
Jusuf Nurkic,2088,132,39,32,2,922,2017-18
Al Horford,2277,95,30,27,0,884,2017-18
Andre Drummond,2625,250,46,46,1,875,2017-18
Dragan Bender,2069,42,20,14,0,872,2017-18
Taj Gibson,2726,110,38,53,0,867,2017-18
Thaddeus Young,2607,292,43,77,14,851,2017-18
Jonas Valanciunas,1727,61,31,20,3,848,2017-18
Draymond Green,2287,217,23,41,5,836,2017-18
Derrick Favors,2153,98,35,26,0,826,2017-18
Jakob Poeltl,1524,82,36,22,4,816,2017-18
Jarrett Allen,1441,58,32,19,0,791,2017-18
Tobias Harris,2668,123,37,55,1,776,2017-18
Pau Gasol,1812,30,21,21,2,774,2017-18
Giannis Antetokounmpo,2756,189,64,67,0,773,2017-18
Dario Saric,2310,101,35,32,1,750,2017-18
Andrew Wiggins,2979,139,37,52,0,739,2017-18
John Collins,1785,75,36,32,1,737,2017-18
Joel Embiid,1912,67,49,34,1,730,2017-18
Marcin Gortat,2074,61,24,26,21,730,2017-18
John Henson,1969,112,19,16,0,729,2017-18
Marc Gasol,2408,126,43,29,10,717,2017-18
Jrue Holiday,2927,257,62,71,2,716,2017-18
Dwight Howard,2463,128,24,26,0,710,2017-18
Kyle Kuzma,2401,78,21,31,6,709,2017-18
Robin Lopez,1690,18,15,21,1,708,2017-18
Aron Baynes,1485,24,16,21,17,696,2017-18
Serge Ibaka,2093,61,15,30,2,685,2017-18
Julius Randle,2190,88,57,38,2,683,2017-18
Dwight Powell,1672,131,35,36,7,682,2017-18
Willie Cauley-Stein,2044,138,30,41,9,679,2017-18
Josh Richardson,2690,216,26,69,8,676,2017-18
Victor Oladipo,2552,283,52,68,12,661,2017-18
Ben Simmons,2732,234,74,74,3,660,2017-18
Kevin Durant,2325,99,23,47,3,657,2017-18
Harrison Barnes,2634,83,43,55,1,656,2017-18
Bradley Beal,2977,165,42,53,4,651,2017-18
Myles Turner,1836,104,20,32,3,651,2017-18
Alex Len,1395,52,19,16,0,640,2017-18
Kemba Walker,2736,150,34,66,24,637,2017-18
Paul George,2891,309,63,79,5,635,2017-18
Robert Covington,2531,315,28,77,1,632,2017-18
Marquese Chriss,1527,66,19,29,1,625,2017-18
Jamal Murray,2565,166,51,48,5,623,2017-18
Dillon Brooks,2350,143,24,39,5,622,2017-18
Enes Freedom,1830,68,27,24,1,618,2017-18
Domantas Sabonis,1810,76,24,27,2,615,2017-18
Kyle O'Quinn,1387,79,21,30,1,606,2017-18
DeAndre Jordan,2423,81,25,36,1,604,2017-18
Lauri Markkanen,2020,74,21,29,1,602,2017-18
Al-Farouq Aminu,2072,154,36,49,0,598,2017-18
Khris Middleton,2982,222,45,60,11,596,2017-18
CJ McCollum,2924,125,43,70,1,595,2017-18
Kelly Olynyk,1779,141,33,29,15,590,2017-18
Danny Green,1791,141,23,27,3,588,2017-18
Bismack Biyombo,1495,43,25,20,1,584,2017-18
Rondae Hollis-Jefferson,1921,126,32,32,1,584,2017-18
Jeff Green,1828,78,15,31,7,583,2017-18
LeBron James,3026,178,36,56,12,575,2017-18
Montrezl Harrell,1293,68,22,22,11,575,2017-18
Frank Kaminsky,1835,42,15,33,3,574,2017-18
Thon Maker,1238,66,14,31,1,572,2017-18
Justin Holiday,2265,160,23,42,1,571,2017-18
Blake Griffin,1970,81,24,37,12,561,2017-18
Bojan Bogdanovic,2465,87,19,40,2,559,2017-18
Carmelo Anthony,2501,106,29,26,0,556,2017-18
James Johnson,1943,142,25,45,0,556,2017-18
Dirk Nowitzki,1900,75,12,17,0,553,2017-18
Michael Kidd-Gilchrist,1850,80,26,38,5,553,2017-18
Marvin Williams,2006,132,15,32,0,549,2017-18
Tyler Zeller,1108,26,11,14,7,548,2017-18
Jae Crowder,2090,119,23,29,2,546,2017-18
Tyler Johnson,2052,108,28,39,6,546,2017-18
P.J. Tucker,2281,133,39,62,11,545,2017-18
James Harden,2551,205,33,58,2,544,2017-18
Taurean Prince,2464,150,39,51,10,541,2017-18
Ed Davis,1471,61,17,30,1,539,2017-18
DeMarre Carroll,2180,125,45,50,4,536,2017-18
Cory Joseph,2210,122,26,48,6,535,2017-18
Mason Plumlee,1439,127,21,33,7,535,2017-18
Jerami Grant,1647,53,23,27,17,532,2017-18
Gorgui Dieng,1333,106,27,32,14,531,2017-18
Dewayne Dedmon,1542,80,30,31,4,530,2017-18
Buddy Hield,2024,151,45,49,0,527,2017-18
E'Twaun Moore,2586,140,46,63,0,527,2017-18
Eric Bledsoe,2322,249,38,68,3,520,2017-18
Donovan Mitchell,2638,179,34,46,1,519,2017-18
Brandon Ingram,1975,105,24,33,1,518,2017-18
Jarell Martin,1661,81,23,19,6,515,2017-18
Pascal Siakam,1679,116,36,46,0,515,2017-18
Kelly Oubre Jr.,2231,216,29,41,10,513,2017-18
Kosta Koufos,1391,87,18,18,0,512,2017-18
Jayson Tatum,2443,135,27,41,1,509,2017-18
Joe Harris,1975,60,27,34,2,508,2017-18
Wilson Chandler,2346,73,27,53,0,505,2017-18
Dejounte Murray,1743,169,41,61,0,503,2017-18
Denzel Valentine,2095,127,33,53,1,501,2017-18
Anthony Tolliver,1757,55,18,39,18,497,2017-18
Will Barton,2683,144,38,43,0,497,2017-18
Josh Hart,1461,79,19,25,2,493,2017-18
Mario Hezonja,1657,138,20,32,2,488,2017-18
Markieff Morris,1968,97,21,43,4,488,2017-18
Maxi Kleber,1206,57,13,17,3,488,2017-18
Dennis Smith Jr.,2049,147,48,41,4,487,2017-18
Klay Thompson,2504,83,25,51,0,481,2017-18
Justise Winslow,1680,102,29,52,1,476,2017-18
Jaylen Brown,2152,141,40,41,5,470,2017-18
David West,999,93,13,16,1,469,2017-18
Larry Nance Jr.,1421,158,31,34,2,469,2017-18
Skal Labissiere,1240,38,24,22,2,469,2017-18
Trey Lyles,1391,47,12,24,4,468,2017-18
Ersan Ilyasova,1730,117,24,39,32,466,2017-18
Joe Ingles,2579,189,33,57,0,465,2017-18
De'Aaron Fox,2026,111,16,68,3,463,2017-18
Bam Adebayo,1368,73,22,24,1,459,2017-18
Luc Mbah a Moute,1564,112,16,33,3,458,2017-18
Bogdan Bogdanovic,2175,167,31,32,0,456,2017-18
Dante Cunningham,1562,76,15,29,1,456,2017-18
Ryan Anderson,1725,38,20,20,6,453,2017-18
Darius Miller,1944,64,32,26,0,447,2017-18
Nemanja Bjelica,1371,90,16,23,2,447,2017-18
Ian Mahinmi,1145,86,17,20,3,446,2017-18
Spencer Dinwiddie,2306,124,29,53,2,446,2017-18
Jordan Clarkson,1887,88,30,32,0,445,2017-18
Kyle Anderson,1978,186,18,55,4,441,2017-18
Caris LeVert,1864,164,32,43,6,436,2017-18
Jeremy Lamb,1967,124,28,41,1,436,2017-18
Kevon Looney,910,48,23,22,1,435,2017-18
Evan Turner,2034,77,18,42,0,430,2017-18
Quincy Acy,1359,100,14,14,22,428,2017-18
Tony Snell,2053,96,14,40,0,428,2017-18
Nicolas Batum,1981,97,26,43,1,424,2017-18
Otto Porter Jr.,2432,222,25,67,1,424,2017-18
Davis Bertans,1086,48,10,10,1,421,2017-18
Zach Collins,1045,20,6,13,1,417,2017-18
T.J. Warren,2142,124,39,45,0,416,2017-18
Goran Dragic,2378,110,53,46,5,415,2017-18
Patrick Patterson,1270,78,9,19,2,414,2017-18
Wesley Johnson,1486,147,11,29,1,414,2017-18
Allen Crabbe,2197,112,22,43,1,413,2017-18
Josh Jackson,1959,119,34,44,6,411,2017-18
Amir Johnson,1170,72,30,20,6,410,2017-18
Yogi Ferrell,2282,118,27,63,12,410,2017-18
Michael Beasley,1653,99,32,22,0,409,2017-18
David Nwaba,1646,102,26,43,0,408,2017-18
Daniel Theis,936,56,16,21,0,407,2017-18
