Rk,Player,WS,G,Season,Age,Team,AS,DRtg,DWS,DBPM,STL,BLK,STL%,BLK%,Pos
440,Chandler Parsons,7.6,74,2013-14,25,HOU,0,108,2.5,0.2,1.2,0.4,1.6,0.8,F
441,Darren Collison,7.6,69,2017-18,30,IND,0,110,1.8,0.3,1.3,0.2,2.3,0.7,G
442,Bradley Beal,7.6,82,2018-19,25,WAS,1,114,1.7,-0.8,1.5,0.7,1.9,1.6,G
443,Joe Ingles,7.6,82,2017-18,30,UTA,0,106,3.6,1.3,1.1,0.2,1.8,0.7,F-G
444,Jonas Valančiūnas,7.6,77,2017-18,25,TOR,0,103,3,0,0.4,0.9,0.8,3.2,C
445,Al Horford,7.6,69,2021-22,35,BOS,0,104,3.8,2.9,0.7,1.3,1.2,4.2,C-F
446,Darius Garland,7.6,69,2022-23,23,CLE,0,113,3,-0.7,1.2,0.1,1.7,0.3,G
447,Domantas Sabonis,7.6,74,2018-19,22,IND,0,104,3.3,1.3,0.6,0.4,1.3,1.5,C-F
448,Enes Freedom,7.6,71,2017-18,25,NYK,0,108,2.1,-1.1,0.5,0.5,1,1.7,C
449,Domantas Sabonis,7.5,62,2019-20,23,IND,1,106,3.4,1.2,0.8,0.5,1.1,1.2,C-F
450,Goran Dragić,7.5,73,2016-17,30,MIA,0,109,2.6,-0.1,1.2,0.2,1.8,0.4,G
451,Jalen Brunson,7.5,79,2021-22,25,DAL,0,112,2.7,0,0.8,0,1.3,0.1,G
452,Devin Booker,7.5,70,2019-20,23,PHX,1,114,1.5,-1.3,0.7,0.3,0.9,0.6,G
453,Mikal Bridges,7.5,83,2022-23,26,BKNPHX,0,115,3.1,0.2,1.1,0.7,1.5,1.8,F-G
454,Greg Monroe,7.5,79,2015-16,25,MIL,0,106,2.4,-0.6,0.9,0.8,1.6,2.5,C-F
455,Kyle Korver,7.5,75,2014-15,33,ATL,1,106,2.4,0.4,0.7,0.6,1.1,1.5,G-F
456,LaMarcus Aldridge,7.5,69,2013-14,28,POR,1,104,3.5,0.1,0.9,1,1.3,1.9,F-C
457,Enes Freedom,7.5,72,2020-21,28,POR,0,113,1.7,-1.4,0.5,0.7,0.9,2.4,C
458,Kyle Lowry,7.5,58,2019-20,33,TOR,1,106,3.3,1,1.4,0.4,1.9,1.2,G
459,Dwight Powell,7.5,77,2018-19,27,DAL,0,110,1.9,0.9,0.6,0.6,1.3,2.6,F-C
460,Kyrie Irving,7.4,60,2022-23,30,BKNDAL,1,116,2,-0.7,1.1,0.8,1.4,1.7,G
461,Lance Stephenson,7.4,78,2013-14,23,IND,0,101,4.8,1,0.7,0.1,1,0.2,G-F
462,Derrick White,7.4,82,2022-23,28,BOS,0,112,3.1,1.3,0.7,0.9,1.1,2.8,G
463,Bam Adebayo,7.4,75,2022-23,25,MIA,1,111,3.8,0.8,1.2,0.8,1.7,2.4,C-F
464,Andre Drummond,7.4,81,2015-16,22,DET,1,98,5.5,0.3,1.5,1.4,2.3,3.2,C
465,De'Aaron Fox,7.4,73,2022-23,25,SAC,1,117,1.8,-0.9,1.1,0.3,1.6,0.8,G
466,DeMar DeRozan,7.4,61,2020-21,31,SAS,0,115,1.5,-0.1,0.9,0.2,1.3,0.6,G-F
467,Tim Duncan,7.4,74,2013-14,37,SAS,0,98,4.6,2.1,0.6,1.9,1,4.6,F-C
468,Al Horford,7.4,68,2018-19,32,BOS,0,107,2.8,1.9,0.9,1.3,1.4,3.9,C-F
469,Kemba Walker,7.4,82,2018-19,28,CHA,1,114,1.9,-1,1.2,0.4,1.7,1,G
470,Dejounte Murray,7.3,68,2021-22,25,SAS,1,108,3.4,1.7,2,0.3,2.8,0.8,G
471,Jae Crowder,7.3,73,2015-16,25,BOS,0,102,3.5,1.4,1.7,0.5,2.7,1.2,F
472,Terrence Jones,7.3,76,2013-14,22,HOU,0,105,2.7,0.3,0.7,1.3,1.3,3.5,F
473,Marcin Gortat,7.3,75,2015-16,31,WAS,0,104,3.1,0.1,0.6,1.3,1,3.4,C-F
474,Tyrese Maxey,7.3,75,2021-22,21,PHI,0,115,1.9,-0.7,0.7,0.4,1,1.1,G
475,Jerami Grant,7.3,80,2018-19,24,OKC,0,108,3.3,0.6,0.8,1.3,1.1,3.2,F
476,Jonas Valančiūnas,7.3,74,2021-22,29,NOP,0,111,2.7,-0.1,0.6,0.8,0.9,2.6,C
477,Montrezl Harrell,7.3,71,2021-22,28,CHAWAS,0,114,1.2,0.1,0.4,0.6,0.9,2.3,F-C
478,Tristan Thompson,7.3,78,2016-17,25,CLE,0,109,2.3,-0.7,0.5,1.1,0.8,2.9,F-C
479,Montrezl Harrell,7.3,69,2020-21,27,LAL,0,106,2.7,0.7,0.7,0.7,1.4,2.8,F-C
480,DeMar DeRozan,7.3,68,2019-20,30,SAS,0,115,1.3,-0.4,1,0.3,1.4,0.8,G-F
481,Deandre Ayton,7.3,58,2021-22,23,PHX,0,105,3.1,0.6,0.7,0.7,1.1,2.1,C
482,Miles Bridges,7.2,80,2021-22,23,CHA,0,114,2.3,-0.3,0.9,0.8,1.3,2.2,G-F
483,Clint Capela,7.2,65,2022-23,28,ATL,0,112,2.4,-0.1,0.7,1.2,1.2,3.9,C
484,LaMarcus Aldridge,7.2,72,2016-17,31,SAS,0,104,3.7,0.1,0.6,1.2,1,3,F-C
485,Dirk Nowitzki,7.2,77,2014-15,36,DAL,1,107,2,-0.5,0.5,0.4,0.9,1.2,F-C
486,Ivica Zubac,7.2,76,2021-22,24,LAC,0,107,2.9,0.8,0.5,1,1,3.5,C
487,Desmond Bane,7.2,76,2021-22,23,MEM,0,110,2.7,0.3,1.2,0.4,1.9,1.1,G
488,Anthony Davis,7.2,61,2015-16,22,NOP,1,104,2.8,0.4,1.3,2,1.8,4.7,F-C
489,Trae Young,7.2,63,2020-21,22,ATL,0,116,1.3,-1.7,0.8,0.2,1.2,0.5,G
490,Donovan Mitchell,7.2,67,2021-22,25,UTA,1,111,2.5,-0.3,1.5,0.2,2.2,0.5,G
491,Zach Randolph,7.2,71,2014-15,33,MEM,0,101,3.8,-0.1,1,0.2,1.6,0.5,F-C
492,Taj Gibson,7.2,82,2017-18,32,MIN,0,112,1.7,-0.7,0.8,0.7,1.1,1.9,F-C
493,Derrick Favors,7.1,62,2015-16,24,UTA,0,101,3.4,1.2,1.2,1.5,2,3.9,F-C
494,Tobias Harris,7.1,62,2020-21,28,PHI,0,108,3.1,0.8,0.9,0.8,1.3,2.3,F
495,DeAndre Jordan,7.1,69,2018-19,30,DALNYK,0,106,3.1,1.3,0.6,1.1,1,3,C
496,Onyeka Okongwu,7.1,80,2022-23,22,ATL,0,112,2.4,0.8,0.7,1.3,1.4,4.9,F
497,Pau Gasol,7.1,72,2015-16,35,CHI,1,101,3.9,2.3,0.6,2,0.9,4.7,C-F
498,Walker Kessler,7.1,74,2022-23,21,UTA,0,111,2.5,1.5,0.4,2.3,0.7,8.6,C
499,Giannis Antetokounmpo,7.1,80,2015-16,21,MIL,0,106,2.9,0.7,1.2,1.4,1.7,3.4,F-G
500,Tobias Harris,7.1,82,2018-19,26,LACPHI,0,111,2.6,-0.5,0.6,0.5,0.8,1,F
501,Domantas Sabonis,7.1,62,2021-22,25,INDSAC,0,113,1.8,0.9,1,0.4,1.3,1.1,C-F
502,Klay Thompson,7.1,78,2016-17,26,GSW,1,108,2.9,-1.6,0.8,0.5,1.2,1.2,G-F
503,Zach LaVine,7.1,77,2022-23,27,CHI,0,115,2.9,-0.7,0.9,0.2,1.2,0.6,G-F
504,Paul George,7.1,75,2016-17,26,IND,1,108,3.1,0.1,1.6,0.4,2.2,0.9,F-G
505,Jrue Holiday,7.1,81,2017-18,27,NOP,0,109,2.9,0.3,1.5,0.8,2,1.7,G
506,Jimmy Butler,7.1,67,2013-14,24,CHI,0,100,4.6,2,1.9,0.5,2.6,1.1,F-G
507,Kyle Lowry,7.1,70,2014-15,28,TOR,1,107,2,-0.1,1.6,0.2,2.3,0.4,G
508,Jayson Tatum,7.1,80,2017-18,19,BOS,0,103,4,1.2,1,0.7,1.7,2,F
509,Tyrese Haliburton,7,77,2021-22,21,INDSAC,0,115,1.8,-0.1,1.7,0.6,2.4,1.6,G
510,DeMarre Carroll,7,70,2014-15,28,ATL,0,104,2.8,0.4,1.3,0.2,2.2,0.7,F
511,Nikola Vučević,7,74,2014-15,24,ORL,0,106,2.5,-1.2,0.7,0.7,1.1,1.7,C
512,Joe Ingles,7,67,2020-21,33,UTA,0,111,2.3,0.9,0.7,0.2,1.2,0.5,F-G
513,Ty Lawson,7,75,2014-15,27,DEN,0,111,1,-0.9,1.2,0.1,1.7,0.3,G
514,Jonas Valančiūnas,7,70,2019-20,27,MEM,0,107,2.8,0.2,0.4,1.1,0.8,3.6,C
515,Brook Lopez,7,72,2014-15,26,BKN,0,105,2.2,-0.7,0.6,1.8,1.1,4.8,C
516,Eric Bledsoe,7,81,2014-15,25,PHX,0,106,2.9,0.5,1.6,0.6,2.3,1.2,G
517,Montrezl Harrell,7,63,2019-20,26,LAC,0,107,2.5,0.5,0.6,1.1,1.1,3.6,F-C
518,Andre Iguodala,6.9,76,2016-17,33,GSW,0,105,2.9,1.7,1,0.5,1.8,1.5,F-G
519,Domantas Sabonis,6.9,62,2020-21,24,IND,1,110,3,1.6,1.2,0.5,1.6,1.2,C-F
520,D.J. Augustin,6.9,81,2018-19,31,ORL,0,112,1.9,-0.7,0.6,0,1.1,0.1,G
521,Ivica Zubac,6.9,72,2020-21,23,LAC,0,110,2.1,0.4,0.3,0.9,0.7,3.4,C
522,Thaddeus Young,6.9,81,2018-19,30,IND,0,106,3.9,1.1,1.5,0.4,2.4,1.3,F
523,Bradley Beal,6.9,82,2017-18,24,WAS,1,110,2.5,-0.7,1.2,0.4,1.6,1.1,G
524,Jayson Tatum,6.9,66,2019-20,21,BOS,1,106,3.7,0.6,1.4,0.9,2,2.3,F
525,Jakob Poeltl,6.9,68,2021-22,26,SAS,0,110,2.5,0.7,0.7,1.7,1.1,5,C
526,Khris Middleton,6.9,82,2017-18,26,MIL,0,111,2.3,-0.8,1.5,0.3,2,0.6,F-G
527,Jrue Holiday,6.9,67,2021-22,31,MIL,0,112,2.4,0.3,1.6,0.4,2.4,1.3,G
