Rk,Season,Team,G,W,L,W/L%,DRB,STL,BLK,PF,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,AST,TOV,PTS
327,2019-20,GSW,65,15,50,0.231,32.9,8.2,4.6,20.1,42.2,88.6,28.7,53.8,13.5,34.8,17.1,21.9,10.2,26.1,15.6,115
50,2020-21,UTA,72,52,20,0.722,37.6,6.6,5.2,18.5,40.9,91.4,30,59.6,10.9,31.8,14.5,18.9,9.8,22.3,11.5,107.2
59,2020-21,PHX,72,51,21,0.708,34.2,7.2,4.3,19.1,40.5,86.8,28.9,54,11.6,32.8,16.8,21.7,9.4,22.9,13.6,109.5
78,2020-21,PHI,72,49,23,0.681,35,9.1,6.2,20.2,39.4,86.9,27.5,53.9,11.9,33,17.4,22.8,9.8,23.5,15.6,108.1
90,2020-21,BKN,72,48,24,0.667,35.5,6.7,5.3,19,41.9,91.3,28.7,55.1,13.2,36.2,17.1,22,10.5,24,12.6,114.1
111,2020-21,DEN,72,47,25,0.653,33.9,8.1,4.5,19.1,40,85.4,27.1,49.7,13,35.7,17.1,22.1,9.1,25.9,14.1,110.1
112,2020-21,LAC,72,47,25,0.653,34.7,7.1,4.1,19.2,40.1,86.4,28.5,53.9,11.6,32.5,16.1,20.7,9.2,22.9,12.8,107.8
121,2020-21,MIL,72,46,26,0.639,37.8,8.1,4.6,17.3,42.4,92.9,27.6,54.3,14.8,38.6,14.6,18.8,9.6,25.1,13.2,114.2
158,2020-21,DAL,72,42,30,0.583,34.2,6.3,4.3,19.4,40.1,87.1,27.2,51.8,12.8,35.2,17.2,22.5,9.8,22.7,12.6,110.2
159,2020-21,LAL,72,42,30,0.583,34.6,7.8,5.4,19.1,39.8,86.4,28.4,54.2,11.4,32.2,15.9,20.5,8.8,24.7,15.2,106.8
160,2020-21,POR,72,42,30,0.583,33.9,6.9,5,18.9,41.8,88.3,28.9,53.6,12.9,34.6,17.9,22.8,9.9,24.9,12.4,114.3
172,2020-21,ATL,72,41,31,0.569,35.1,7,4.8,19.3,41.3,89.1,29.3,55,11.9,34.2,16.9,21.1,10,24.4,12.3,111.4
173,2020-21,NYK,72,41,31,0.569,35.5,7,5.1,20.5,37.9,86.2,25.9,50.6,12,35.6,16.9,22.2,9.7,23.6,12.8,104.7
183,2020-21,MIA,72,40,32,0.556,33.5,7.9,4,18.9,39.1,85.2,24.8,46.2,14.3,39.1,15.6,19.9,9.5,25.8,15.1,108
189,2020-21,GSW,72,39,33,0.542,35.1,8.2,4.8,21.2,40.2,89,27.9,54.5,12.4,34.5,19.8,25.5,10.7,23.8,15,112.7
196,2020-21,MEM,72,38,34,0.528,35.3,9.1,5.1,18.7,41,88.7,28.2,53.6,12.9,35.1,17.4,22.1,9.8,25.4,14.8,112.3
209,2020-21,BOS,72,36,36,0.5,33.6,7.7,5.3,20.4,39.9,86,27.1,51.6,12.8,34.3,18.5,23.5,9.4,24.1,14.1,111.2
223,2020-21,IND,72,34,38,0.472,33.7,8.5,6.4,20.2,42.7,91.3,31.2,59.9,11.5,31.5,18.4,23.5,11.3,26.1,14.8,115.3
224,2020-21,WAS,72,34,38,0.472,35.5,7.3,4.1,21.6,43.1,91.6,30.7,57.9,12.4,33.7,19.8,25.4,10.3,24.5,14.7,118.5
231,2020-21,CHA,72,33,39,0.458,33.2,7.8,4.8,18,41.3,88.1,26.8,48.6,14.5,39.5,14.4,19.3,10.6,27.1,14.8,111.4
232,2020-21,SAS,72,33,39,0.458,34.6,7,5.1,18,42.4,89.8,30.1,57.2,12.3,32.6,15.7,20.7,10.2,24.8,13.2,112.8
250,2020-21,CHI,72,31,41,0.431,35.3,6.7,4.2,18.9,41.4,87.7,29.9,55.3,11.5,32.3,17.2,22.2,8.7,24.1,12.7,111.6
251,2020-21,NOP,72,31,41,0.431,35.7,7.6,4.4,18,41.9,89.3,27.4,51.2,14.5,38.1,16.6,21.1,8.9,25.9,13.3,114.9
252,2020-21,SAC,72,31,41,0.431,32,7.5,5,19.4,43.6,89.4,31.2,56.8,12.4,32.6,17.8,22.7,10.7,25.3,13.7,117.4
272,2020-21,TOR,72,27,45,0.375,32.1,8.6,5.4,21.2,39,84.7,25.1,48,13.9,36.7,19.8,24.8,10,26,16.1,111.7
289,2020-21,MIN,72,23,49,0.319,33,8.8,5.5,20.9,43,89.3,29.9,55.8,13.1,33.5,18.5,23.5,10,26.8,15.3,117.7
297,2020-21,CLE,72,22,50,0.306,32.3,7.8,4.5,18.2,42,86.7,29.6,54.3,12.4,32.4,15.9,20.4,9.9,25.4,14.3,112.3
298,2020-21,OKC,72,22,50,0.306,35.7,7,4.4,18.1,43.4,91.7,29.8,54.4,13.6,37.3,15.3,19.8,10.1,25.8,13.1,115.6
304,2020-21,ORL,72,21,51,0.292,35.1,6.9,4.4,17.2,42.2,89.7,28.5,52.9,13.7,36.8,15.2,19.3,9.8,26,12.7,113.3
310,2020-21,DET,72,20,52,0.278,33.1,7.4,5.2,20.5,41.4,86.9,30,55.6,11.3,31.4,17,22.3,10,24.8,13.9,111.1
321,2020-21,HOU,72,17,55,0.236,33.3,7.6,5,19.5,42.7,89,29.3,53.9,13.4,35.2,17.9,22.8,9.9,25.8,14.7,116.7
7,2021-22,PHX,82,64,18,0.78,35.5,8.6,4.4,19.9,39.2,88.3,27.6,54.1,11.6,34.2,17.3,22.7,10.5,22.9,14.7,107.3
24,2021-22,MEM,82,56,26,0.683,35,9.8,6.5,19.8,40.3,88.6,28.3,54.2,12,34.5,17.3,22.4,10,25,15.1,109.9
41,2021-22,GSW,82,53,29,0.646,35.7,8.8,4.5,21,37.9,86.6,25.7,50.6,12.2,36,17.4,22.9,9.7,22.9,14.5,105.5
42,2021-22,MIA,82,53,29,0.646,33.9,7.4,3.2,20.5,37.5,84,24.6,45.7,13,38.3,17.5,22.5,9.5,23.3,15,105.6
49,2021-22,DAL,82,52,30,0.634,33.8,6.7,4,19.7,39,85.4,28.1,53.2,10.9,32.1,15.8,20.6,9.5,23.5,13.1,104.7
56,2021-22,BOS,82,51,31,0.622,35.5,7.2,5.8,18.5,38.3,88.1,26.4,53.2,11.8,34.9,16.1,20.6,10.5,21.6,13.8,104.5
57,2021-22,MIL,82,51,31,0.622,36.5,7.6,4,18.2,41.4,90.6,26.9,50,14.5,40.6,15,19.9,9.9,25.9,13,112.1
58,2021-22,PHI,82,51,31,0.622,33.8,7.7,5.3,19.4,39.7,86.5,28.3,53.7,11.4,32.8,16.6,21.6,10.2,23.6,13.3,107.3
77,2021-22,UTA,82,49,33,0.598,35.6,7.2,4.9,18.9,40.4,89.2,28.3,54.6,12.1,34.6,14.6,19.3,9.9,23.4,12,107.6
88,2021-22,DEN,82,48,34,0.585,34.9,7.2,3.7,20,41.1,87.4,29.2,53.2,11.8,34.2,16.5,21.7,9.7,25.4,12.8,110.4
89,2021-22,TOR,82,48,34,0.585,32,9,4.6,19.6,39,84.4,26.6,49.5,12.4,34.9,16.8,21.2,10.3,25.3,15.8,107.1
119,2021-22,CHI,82,46,36,0.561,33.7,7.1,4.1,18.8,41.4,87.4,29.7,55.5,11.7,32,17.4,21.9,9.3,25,13.1,112
120,2021-22,MIN,82,46,36,0.561,32.9,8.8,5.6,21.8,40.2,87.4,27.2,50,13.1,37.3,19.8,25.4,11,26.2,16.3,113.3
134,2021-22,CLE,82,44,38,0.537,34,7.1,4.2,17.5,39.5,87.2,27.8,54,11.7,33.2,15,19.4,10.5,24.1,13.4,105.7
135,2021-22,BKN,82,44,38,0.537,34.1,7.1,5.5,20.4,40.7,90.2,28.2,53.9,12.5,36.3,18.1,23,11.3,23.8,13.3,112.1
147,2021-22,ATL,82,43,39,0.524,33.9,7.2,4.2,18.7,41.9,89,29.1,53.7,12.8,35.2,15.8,19.9,10.2,25.4,12.8,112.4
148,2021-22,CHA,82,43,39,0.524,33.7,8.6,4.9,19.9,42,90.1,28,51.4,14,38.7,16.9,22.1,11.4,26.5,15,114.9
157,2021-22,LAC,82,42,40,0.512,34.9,7.4,5,18.6,40.8,90.6,29.1,56.7,11.7,33.9,15.2,19.6,12,24.1,13.6,108.4
202,2021-22,NYK,82,37,45,0.451,34.6,7,4.9,20.4,38.5,86,25.8,49,12.7,37,17,22.3,9.3,24.2,12.7,106.6
208,2021-22,NOP,82,36,46,0.439,33.2,8.3,4,19.7,40.3,85.5,27.3,50,13,35.5,16.8,21.4,9.3,24.9,14.2,110.3
216,2021-22,WAS,82,35,47,0.427,34.1,6.4,5,18.8,41.3,88.9,29.8,57.1,11.5,31.8,18,22.3,10.2,23.7,11.9,112
222,2021-22,SAS,82,34,48,0.415,34.3,7.6,4.9,18.1,42.5,91.2,30.4,57.5,12.1,33.6,16,20.9,11.4,24,13.8,113
230,2021-22,LAL,82,33,49,0.402,34.5,7.6,5.2,20.2,42.6,90.5,30,54.7,12.6,35.8,17.4,23.3,11,26.3,14,115.1
256,2021-22,SAC,82,30,52,0.366,33.4,7.2,4.5,18.9,43.4,90.6,30.4,55.7,13,34.9,15.9,20.5,10.6,25.3,13.5,115.8
271,2021-22,POR,82,27,55,0.329,32.5,8,4.5,21.1,41.1,85.9,27.4,48.8,13.8,37.1,19.1,24.6,9.8,26.6,14,115.1
278,2021-22,IND,82,25,57,0.305,32.6,7.1,5.6,20.4,42.5,88,30.5,55.7,12,32.3,17.9,22.5,10.2,25.1,13.3,114.9
284,2021-22,OKC,82,24,58,0.293,35.2,7.6,4.6,18.3,41.4,90.5,27.8,51.8,13.6,38.7,15.3,19.9,11,26.1,13.2,111.8
288,2021-22,DET,82,23,59,0.28,32,7.7,4.8,21.9,40.6,86,28.9,53.5,11.8,32.5,19.5,25.1,10.3,25.1,14.6,112.5
296,2021-22,ORL,82,22,60,0.268,35.2,6.8,4.5,19.7,40.8,89,27.6,52.7,13.2,36.3,17.4,22.6,10.4,24.8,13.2,112.2
309,2021-22,HOU,82,20,62,0.244,32.4,7.3,4.7,20.6,43.4,89.9,30.7,53.8,12.8,36.2,18.5,23.7,11.2,25.6,14.1,118.2
14,2022-23,MIL,82,58,24,0.707,37.5,6.4,4.9,18.1,42.5,93.2,30.4,59.1,12.1,34.1,16.3,21,10.7,23.9,11.8,113.3
19,2022-23,BOS,82,57,25,0.695,35.6,6.4,5.2,18.8,41.8,90.2,30.1,56.5,11.6,33.7,16.2,21.1,9.7,23.1,12.7,111.4
35,2022-23,PHI,82,54,28,0.659,32.2,7.7,4.7,20.4,40.4,85.4,28.8,52.1,11.6,33.4,18.5,23.7,9.5,24.2,14.3,110.9
40,2022-23,DEN,82,53,29,0.646,32.9,7.5,4.5,18.6,41.7,87.4,30.4,54.3,11.4,33.1,17.6,22.7,10.1,25.7,13.5,112.5
54,2022-23,CLE,82,51,31,0.622,31.4,7.1,4.7,19,39,83.5,27.8,52.9,11.3,30.6,17.5,22.4,9.8,23,15.7,106.9
55,2022-23,MEM,82,51,31,0.622,34.6,8.3,5.8,20,40.7,89.8,27.7,53.3,13,36.6,18.5,23.5,11,26.4,15.1,113
87,2022-23,SAC,82,48,34,0.585,32.9,7,3.4,19.7,43.8,88.9,31.3,55.5,12.5,33.4,18.1,23,9.7,26.7,14.2,118.1
110,2022-23,NYK,82,47,35,0.573,34,6.4,4.1,20.3,40.8,88.2,27.7,51.7,13,36.5,18.5,23.7,10.1,25.1,12.7,113.1
125,2022-23,BKN,82,45,37,0.549,32.3,7.1,6.2,21.1,41,88.5,29.2,56.3,11.8,32.2,18.7,24.4,11.5,23.4,13.7,112.5
126,2022-23,PHX,82,45,37,0.549,32.4,7.1,5.3,21.2,40,85.9,28.6,53.9,11.4,32,20.1,25.6,10.2,23.4,14.4,111.6
131,2022-23,GSW,82,44,38,0.537,34.1,7.2,3.9,21.4,42.4,90.5,29.5,55,12.9,35.5,19.4,25.2,10.7,25.7,14.3,117.1
132,2022-23,LAC,82,44,38,0.537,33.4,7.1,4.4,19.5,41.8,88.3,29.6,54.9,12.2,33.4,17.2,22.3,10.2,25,13,113.1
133,2022-23,MIA,82,44,38,0.537,30.9,8,3,18.5,40.1,83.2,27,47.4,13.1,35.8,16.5,21.1,8.9,25.6,15.7,109.8
146,2022-23,LAL,82,43,39,0.524,35.7,6.4,4.6,17.9,44,93.9,31.5,57.4,12.5,36.5,16.1,20.8,11.1,25.7,12.6,116.6
155,2022-23,MIN,82,42,40,0.512,32.8,8,5.4,21.6,41.8,88.7,29.5,55.5,12.3,33.3,19.9,26,11.3,25,15.4,115.8
156,2022-23,NOP,82,42,40,0.512,33.1,8.3,4.1,20.5,40.9,86.6,28.7,50.6,12.2,36,18.4,23.6,9.7,24.9,15,112.5
170,2022-23,ATL,82,41,41,0.5,33.2,7.1,4.9,18.8,43.8,90.2,31.9,56.7,11.9,33.5,18.6,23.2,10.6,26,14.2,118.1
171,2022-23,TOR,82,41,41,0.5,30.3,9.4,5.2,20,40.4,82.3,28.2,49.7,12.2,32.6,18.4,23.1,9.2,26.2,16.7,111.4
181,2022-23,CHI,82,40,42,0.488,33.9,7.9,4.5,18.9,40.7,87.1,27.5,50,13.2,37.1,17.1,22,9.6,26,15,111.8
182,2022-23,OKC,82,40,42,0.488,32.3,8.2,4.2,21,41.9,88.4,29,52.4,12.9,36,19.6,25.5,12,25.9,16.8,116.4
195,2022-23,DAL,82,38,44,0.463,31.2,6.3,3.7,20.7,41.8,86.2,30.6,54.5,11.1,31.7,19.5,25,10.1,24.9,13.1,114.1
201,2022-23,UTA,82,37,45,0.451,34.1,6.1,5.2,20.5,43.4,91.6,30.9,57.1,12.5,34.5,18.8,24.3,11.2,25,12.6,118
214,2022-23,IND,82,35,47,0.427,31.4,7.7,5.8,21.2,43.3,89.3,30.9,56,12.4,33.3,20.5,25.6,12.1,26.4,15.1,119.5
215,2022-23,WAS,82,35,47,0.427,34.2,6.8,5.2,18.8,42.5,89.8,30.5,57,12,32.8,17.5,21.9,10.8,24.8,12.3,114.4
221,2022-23,ORL,82,34,48,0.415,33.1,7.4,4.7,20.1,41.3,86.9,28.4,50,13,37,18.3,23,9.5,25.9,14.7,114
229,2022-23,POR,82,33,49,0.402,31.1,6.7,4.6,20,43,87.5,30.4,54.4,12.5,33.1,19,24.1,10.5,27,13.5,117.4
270,2022-23,CHA,82,27,55,0.329,33.5,7.7,5.2,20.3,43,90.1,30.7,55.8,12.2,34.3,19,24,10.9,25.9,14.4,117.2
294,2022-23,HOU,82,22,60,0.268,32.9,7.3,4.6,20.5,42.4,88.1,27.9,49.3,14.5,38.8,19.2,24.2,10.5,26.1,13.2,118.6
295,2022-23,SAS,82,22,60,0.268,31.9,7,3.9,19.9,46.1,91,33.5,58.6,12.6,32.3,18.2,23.7,10.7,26.8,13.8,123.1
320,2022-23,DET,82,17,65,0.207,31.3,7,3.8,22.1,43.1,88.1,31.1,54.8,12,33.3,20.4,26.2,11,25.8,13.5,118.5
6,2023-24,BOS,82,64,18,0.78,35.6,6.8,6.6,16.2,41.5,91.6,28.6,55,12.9,36.7,13.3,17.3,11.1,24.9,12,109.2
17,2023-24,DEN,82,57,25,0.695,33.7,7.1,5.6,18.2,40.6,87.9,29.4,56.4,11.2,31.5,17.1,22.2,10.9,25.7,12.4,109.6
18,2023-24,OKC,82,57,25,0.695,33.2,8.5,6.6,18.8,40.6,89.3,27.2,52.1,13.4,37.2,18.1,22.9,11.8,26.9,15.7,112.7
23,2023-24,MIN,82,56,26,0.683,34.2,7.9,6.1,18.8,39,86.8,27.6,54.5,11.4,32.3,17.1,21.9,10.3,24.5,14.2,106.5
53,2023-24,LAC,82,51,31,0.622,32.9,7.8,5,18.5,41.6,88.9,28.8,53.5,12.9,35.4,16.2,21,11.1,26.4,13,112.3
67,2023-24,DAL,82,50,32,0.61,33.2,6.9,5,18.3,43,90.4,29.8,54.8,13.1,35.6,16.6,21.6,10.9,27.5,13.7,115.6
68,2023-24,NYK,82,50,32,0.61,32.5,7.5,4.1,17.6,40.3,85.7,27.8,51.4,12.5,34.3,15.1,19.8,10.2,25.6,13.2,108.2
74,2023-24,MIL,82,49,33,0.598,34.8,6.8,5,19.2,43.2,91.9,30.6,56.6,12.6,35.3,17.4,21.5,10.3,26.5,12,116.4
75,2023-24,NOP,82,49,33,0.598,33.6,8.3,4.6,18.4,40.5,87.3,26.9,48.5,13.5,38.7,16.2,20.7,10.1,26.8,14.2,110.7
76,2023-24,PHX,82,49,33,0.598,33.9,7.4,6,18,42,90.6,28.9,54.6,13.1,36,16.1,20.8,11,26.3,12.7,113.2
86,2023-24,CLE,82,48,34,0.585,33.4,7.4,4.6,17.5,40.5,87.5,28,53.7,12.5,33.8,16.6,21,10,25.3,13.6,110.2
106,2023-24,IND,82,47,35,0.573,31.4,7.7,5.9,21.4,44.5,89.8,33.9,60.5,10.7,29.3,20.5,26,11,24.6,13.9,120.2
107,2023-24,LAL,82,47,35,0.573,34.9,7.4,5.5,15.6,44.4,93.7,30.2,55.8,14.3,37.9,14.3,18,10.9,28.2,13.4,117.4
108,2023-24,ORL,82,47,35,0.573,31.8,8.2,5.2,19.7,39.8,84,28.3,51.8,11.5,32.1,17.3,22.2,8.9,23.9,15,108.4
109,2023-24,PHI,82,47,35,0.573,31.9,8.5,6,20.3,40.5,86.6,28.6,52.8,11.9,33.7,18.6,23.5,11,26.1,14.6,111.5
116,2023-24,GSW,82,46,36,0.561,34.6,7,4.6,19.5,42.1,90.4,28.8,53.5,13.3,37,17.7,22.4,10.9,26.7,13,115.2
117,2023-24,MIA,82,46,36,0.561,33,7.5,3.4,17.3,40.2,86,27.2,49.2,13,36.8,15,19.2,9.2,26.5,13.7,108.4
118,2023-24,SAC,82,46,36,0.561,33.2,7.6,4.2,19.9,41.6,86.8,28.5,52.9,13.1,33.8,18.5,23.1,9.1,26.9,13.9,114.8
169,2023-24,HOU,82,41,41,0.5,34,7.8,4.6,20.8,40.8,88.1,28.4,52.7,12.3,35.4,19.3,25.2,10.7,24.4,13.8,113.2
188,2023-24,CHI,82,39,43,0.476,32.6,7.8,4.8,18.8,41.1,87,26.5,47.5,14.6,39.5,16.9,21.8,10.1,27.9,14,113.7
207,2023-24,ATL,82,36,46,0.439,32.2,7.5,4.5,18.6,44.6,90.2,30.6,53.7,14,36.4,17.3,21.8,10.6,28.2,14.1,120.5
243,2023-24,BKN,82,32,50,0.39,32.6,6.8,5.2,18.5,41.6,88.5,28.6,53.5,13,34.9,17.1,21.2,10.3,25.5,12.6,113.3
249,2023-24,UTA,82,31,51,0.378,33.2,6.5,5.6,18.6,44.6,91.6,29.8,54.1,14.8,37.4,16.6,21.6,11,29.8,12.3,120.5
269,2023-24,MEM,82,27,55,0.329,31.7,8.2,6.1,19.1,41.2,86.9,27.8,51.5,13.4,35.4,17,21.8,10.7,26.6,15.1,112.8
277,2023-24,TOR,82,25,57,0.305,31.8,7.7,4.7,18.4,44.7,91.2,31.1,54.8,13.7,36.3,15.6,19.8,11.2,28.6,13.9,118.8
293,2023-24,SAS,82,22,60,0.268,33.9,7.1,6.3,17.2,44.9,92.3,32.2,58.3,12.7,34,16,20.5,10.5,28,13.4,118.6
302,2023-24,CHA,82,21,61,0.256,31,6.9,4.5,18,43.4,87.7,29.7,51.5,13.6,36.2,16.5,20.7,10.6,28.7,13.6,116.8
303,2023-24,POR,82,21,61,0.256,30.1,7.6,4.3,20.2,42.5,86.6,30.8,53.3,11.7,33.3,18.7,23.6,10.6,27.1,14.3,115.4
326,2023-24,WAS,82,15,67,0.183,31.9,7.6,5.1,20,46.1,92.9,33.8,59,12.3,33.9,18.6,24,12.1,29,14,123
329,2023-24,DET,82,14,68,0.171,32.8,6.5,4.7,20.6,43.6,89,31.5,56.3,12.1,32.7,19.6,24.5,9.6,27,12.4,119
