Player,Team,Age,Position,GP,DFGM,DFGA,DFG_PCT,FG_PCT,Season
Patty Mills,SAS,32,G,67,256,538,47.6,45.2,2020-21
Brandon Ingram,NOP,23,F,59,276,579,47.7,46,2020-21
Terry Rozier,CHA,27,G,68,443,926,47.8,45.8,2020-21
Kentavious Caldwell-Pope,LAL,28,G,67,289,605,47.8,46.4,2020-21
Cameron Payne,PHX,26,G,58,172,360,47.8,45.5,2020-21
Bradley Beal,WAS,28,G,59,358,748,47.9,46.5,2020-21
Ricky Rubio,MIN,30,G,67,291,608,47.9,45.6,2020-21
Brandon Clarke,MEM,24,F,59,266,555,47.9,47.7,2020-21
Cameron Johnson,PHX,25,F,59,223,466,47.9,45.6,2020-21
Robin Lopez,WAS,33,C,70,418,871,48,49.1,2020-21
Terance Mann,LAC,24,G-F,62,258,536,48.1,45.8,2020-21
Dean Wade,CLE,24,F-C,60,228,474,48.1,47.3,2020-21
Jeff Green,BKN,34,F,68,389,806,48.3,47.1,2020-21
Tobias Harris,PHI,28,F,62,363,751,48.3,46.4,2020-21
Duncan Robinson,MIA,27,F,70,393,812,48.4,45.9,2020-21
Cedi Osman,CLE,26,F,59,212,438,48.4,45.4,2020-21
Anthony Edwards,MIN,19,G,71,390,804,48.5,45.6,2020-21
Collin Sexton,CLE,22,G,60,334,687,48.6,45.5,2020-21
Kevon Looney,GSW,25,F,60,323,665,48.6,48.5,2020-21
Svi Mykhailiuk,OKC,24,G-F,63,236,486,48.6,45.4,2020-21
Brad Wanamaker,CHA,31,G,61,197,405,48.6,45.7,2020-21
Trae Young,ATL,22,G,63,329,676,48.7,45.3,2020-21
Raul Neto,WAS,29,G,63,275,565,48.7,45.6,2020-21
Theo Maledon,OKC,20,G,64,273,561,48.7,45.3,2020-21
Buddy Hield,SAC,28,G,69,470,964,48.8,46.1,2020-21
Delon Wright,SAC,29,G,61,294,602,48.8,46.7,2020-21
John Collins,ATL,23,F-C,63,408,835,48.9,47.9,2020-21
Thaddeus Young,CHI,33,F,68,364,745,48.9,47.6,2020-21
Nikola Jokic,DEN,26,C,71,626,1278,49,49.2,2020-21
Ja Morant,MEM,21,G,63,343,698,49.1,46.2,2020-21
Saddiq Bey,DET,22,F,70,289,589,49.1,46.9,2020-21
Robert Covington,POR,30,F,67,484,984,49.2,47.6,2020-21
Eric Bledsoe,NOP,31,G,69,420,854,49.2,45.8,2020-21
Keldon Johnson,SAS,21,F-G,69,392,797,49.2,47,2020-21
Naz Reid,MIN,21,C-F,69,387,787,49.2,48.5,2020-21
Josh Jackson,DET,24,G-F,62,302,614,49.2,45.8,2020-21
Josh Okogie,MIN,22,G,58,250,508,49.2,47.2,2020-21
Tyrese Maxey,PHI,20,G,58,141,286,49.3,44,2020-21
Royce O'Neale,UTA,28,F,71,489,989,49.4,47.1,2020-21
Jonas Valanciunas,MEM,29,C,62,514,1039,49.5,48.9,2020-21
Mikal Bridges,PHX,24,F,69,428,863,49.6,46.8,2020-21
Dennis Schroder,LAL,27,G,61,380,766,49.6,46.5,2020-21
Patrick Williams,CHI,19,F,71,357,718,49.7,47.4,2020-21
Derrick Favors,UTA,29,F,68,352,708,49.7,49.2,2020-21
DeMar DeRozan,SAS,31,G-F,61,253,508,49.8,46.3,2020-21
Lonnie Walker IV,SAS,22,G-F,60,252,506,49.8,45.7,2020-21
Coby White,CHI,21,G,69,399,797,50.1,45.8,2020-21
Kelly Olynyk,HOU,30,F-C,70,527,1049,50.2,47.8,2020-21
Nikola Vucevic,CHI,30,C,69,595,1180,50.4,49.2,2020-21
Chris Paul,PHX,36,G,68,340,675,50.4,45.5,2020-21
P.J. Washington,CHA,22,F,63,465,921,50.5,47.9,2020-21
Luke Kennard,LAC,25,G,59,208,410,50.7,44.9,2020-21
Enes Freedom,POR,29,C,69,526,1036,50.8,49.4,2020-21
Devin Vassell,SAS,20,G-F,61,185,362,51.1,45.9,2020-21
Anfernee Simons,POR,22,G,59,185,362,51.1,45,2020-21
Dejounte Murray,SAS,24,G,67,396,772,51.3,46.5,2020-21
Bryn Forbes,MIL,27,G,68,212,413,51.3,45,2020-21
Isaiah Roby,OKC,23,F,60,335,648,51.7,48.3,2020-21
Landry Shamet,BKN,24,G,61,281,537,52.3,45.8,2020-21
Garrison Mathews,WAS,24,G,61,195,373,52.3,45.5,2020-21
Terence Davis,SAC,24,G,59,187,356,52.5,45.8,2020-21
Isaac Okoro,CLE,20,F-G,67,462,873,52.9,45.9,2020-21
Payton Pritchard,BOS,23,G,66,229,433,52.9,45.4,2020-21
Giannis Antetokounmpo,MIL,25,F,62,264,715,36.9,46.1,2019-20
Kyle Anderson,MEM,26,F-G,67,194,521,37.2,45.5,2019-20
Vince Carter,ATL,43,G-F,58,108,277,39,46.1,2019-20
Wesley Matthews,MIL,33,G,65,217,546,39.7,45.3,2019-20
Ersan Ilyasova,MIL,33,F,62,160,401,39.9,45.3,2019-20
Anthony Davis,LAL,27,F-C,62,357,883,40.4,47.1,2019-20
Jimmy Butler,MIA,30,F,58,275,676,40.7,45.9,2019-20
Khris Middleton,MIL,28,F,61,224,550,40.7,45.2,2019-20
Terence Davis,TOR,23,G,69,185,452,40.9,44.8,2019-20
Rudy Gobert,UTA,28,C,68,643,1555,41.4,47.7,2019-20
Patty Mills,SAS,31,G,65,193,466,41.4,44.7,2019-20
George Hill,MIL,34,G,58,204,492,41.5,44.4,2019-20
Pat Connaughton,MIL,27,G,65,251,604,41.6,44.4,2019-20
Matisse Thybulle,PHI,23,G-F,64,199,477,41.7,44.8,2019-20
Eric Bledsoe,MIL,30,G,60,275,658,41.8,45.1,2019-20
LeBron James,LAL,35,F,67,262,624,42,46.3,2019-20
Jerami Grant,DEN,26,F,71,262,624,42,47,2019-20
Justin Jackson,DAL,25,F,64,148,349,42.4,44.5,2019-20
Brook Lopez,MIL,32,C,67,559,1310,42.7,48,2019-20
Marcus Smart,BOS,26,G,60,291,681,42.7,45.5,2019-20
Ivica Zubac,LAC,23,C,72,393,918,42.8,49.2,2019-20
Zach LaVine,CHI,25,G-F,60,301,701,42.9,45.4,2019-20
Semi Ojeleye,BOS,25,F,67,154,358,43,45.7,2019-20
Montrezl Harrell,LAC,26,F-C,63,440,1021,43.1,47.7,2019-20
Pascal Siakam,TOR,26,F,60,430,994,43.3,46.4,2019-20
Rondae Hollis-Jefferson,TOR,25,F,60,218,503,43.3,45.8,2019-20
Chris Boucher,TOR,27,F-C,58,198,457,43.3,46.2,2019-20
Bam Adebayo,MIA,22,C-F,71,454,1047,43.4,47.3,2019-20
Kyle Lowry,TOR,34,G,58,331,763,43.4,45.3,2019-20
Grant Williams,BOS,21,F,68,232,535,43.4,45.8,2019-20
Dorian Finney-Smith,DAL,27,F,70,382,875,43.7,46.6,2019-20
Donte DiVincenzo,MIL,23,G,65,226,516,43.8,44.6,2019-20
Justin Holiday,IND,31,F-G,73,325,741,43.9,45.3,2019-20
Dennis Schroder,OKC,26,G,65,313,713,43.9,45.2,2019-20
OG Anunoby,TOR,22,F,68,296,674,43.9,46.1,2019-20
Mike Scott,PHI,31,F,64,129,294,43.9,46,2019-20
Dillon Brooks,MEM,24,G-F,73,378,856,44.2,45.5,2019-20
Aaron Holiday,IND,23,G,65,313,708,44.2,44.8,2019-20
Garrett Temple,BKN,34,G-F,62,294,665,44.2,44.9,2019-20
CJ McCollum,POR,28,G,69,441,995,44.3,45,2019-20
Julius Randle,NYK,25,F-C,64,349,788,44.3,46.9,2019-20
Aaron Gordon,ORL,24,F,62,329,743,44.3,46.8,2019-20
Jordan Clarkson,UTA,28,G,71,241,544,44.3,44.9,2019-20
Kent Bazemore,SAC,30,G-F,68,320,721,44.4,45.5,2019-20
Robin Lopez,MIL,32,C,65,307,692,44.4,47.3,2019-20
JaMychal Green,LAC,30,F-C,63,223,502,44.4,46.3,2019-20
Tyus Jones,MEM,24,G,65,180,405,44.4,44.4,2019-20
Alex Caruso,LAL,26,G,64,240,539,44.5,45.1,2019-20
Mitchell Robinson,NYK,22,C-F,61,349,782,44.6,47.4,2019-20
Bogdan Bogdanovic,SAC,27,G,61,294,659,44.6,44.9,2019-20
Marcus Morris Sr.,LAC,30,F,62,291,652,44.6,46.4,2019-20
Maxi Kleber,DAL,28,F,73,427,954,44.8,46.7,2019-20
Darius Bazley,OKC,20,F-G,60,249,556,44.8,44.9,2019-20
Jrue Holiday,NOP,30,G,61,410,914,44.9,46.1,2019-20
Duncan Robinson,MIA,26,F,71,332,736,45.1,44.9,2019-20
Jarrett Culver,MIN,21,G-F,63,221,490,45.1,45.6,2019-20
Daniel Theis,BOS,28,F-C,65,429,950,45.2,48.1,2019-20
Dario Saric,PHX,26,F,65,327,724,45.2,46.5,2019-20
Lou Williams,LAC,33,G,65,277,613,45.2,44,2019-20
Goran Dragic,MIA,34,G,58,241,533,45.2,44.4,2019-20
Taj Gibson,NYK,35,F,61,206,456,45.2,47.8,2019-20
Ja Morant,MEM,20,G,67,355,783,45.3,45.3,2019-20
Jayson Tatum,BOS,22,F-G,66,305,673,45.3,45.3,2019-20
Eric Paschall,GSW,23,F,60,253,558,45.3,45.8,2019-20
Domantas Sabonis,IND,24,F-C,62,494,1088,45.4,47.4,2019-20
P.J. Tucker,HOU,35,F,71,478,1052,45.4,46.4,2019-20
Gorgui Dieng,MEM,30,C,62,307,675,45.5,47.6,2019-20
Maurice Harkless,NYK,27,F-G,62,249,547,45.5,45.8,2019-20
Jarrett Allen,BKN,22,C,70,524,1148,45.6,48.1,2019-20
James Harden,HOU,30,G,68,517,1134,45.6,46,2019-20
Brandon Ingram,NOP,22,F,62,335,735,45.6,45.5,2019-20
Christian Wood,DET,24,F,60,325,713,45.6,47.1,2019-20
Jonas Valanciunas,MEM,28,C,70,504,1104,45.7,48.5,2019-20
Spencer Dinwiddie,BKN,27,G,64,332,727,45.7,45.3,2019-20
Rudy Gay,SAS,33,F-G,66,287,627,45.8,45.7,2019-20
Anfernee Simons,POR,21,G,69,271,592,45.8,44.6,2019-20
T.J. Warren,IND,26,F,67,279,608,45.9,45.7,2019-20
Brandon Clarke,MEM,23,F-G,58,273,595,45.9,47,2019-20
Monte Morris,DEN,25,G,73,200,436,45.9,45,2019-20
Gary Trent Jr.,POR,21,G-F,59,187,407,45.9,44.9,2019-20
Cam Reddish,ATL,20,F-G,58,267,581,46,45.7,2019-20
Kevin Knox II,NYK,20,F,65,183,398,46,44.9,2019-20
Damian Lillard,POR,29,G,65,363,787,46.1,45.7,2019-20
Josh Hart,NOP,25,G,65,350,760,46.1,46.2,2019-20
Thaddeus Young,CHI,32,F,64,333,722,46.1,46.4,2019-20
Terrence Ross,ORL,29,G-F,69,275,596,46.1,45,2019-20
Kyle Kuzma,LAL,24,F,61,263,571,46.1,45.7,2019-20
Hassan Whiteside,POR,31,C,66,556,1197,46.4,49,2019-20
Tim Hardaway Jr.,DAL,28,G-F,70,352,759,46.4,45.4,2019-20
De'Andre Hunter,ATL,22,F-G,63,374,805,46.5,45.9,2019-20
Austin Rivers,HOU,27,G,66,256,550,46.5,45.3,2019-20
Doug McDermott,IND,28,F,69,238,512,46.5,45.1,2019-20
Miles Bridges,CHA,22,F,64,390,836,46.7,46.6,2019-20
Taurean Prince,BKN,26,F,64,334,714,46.8,46.2,2019-20
Furkan Korkmaz,PHI,22,G-F,71,239,511,46.8,44.9,2019-20
Bobby Portis,NYK,25,F,66,283,603,46.9,46.6,2019-20
Alec Burks,PHI,28,G,66,275,586,46.9,45.6,2019-20
Brad Wanamaker,BOS,30,G,69,222,473,46.9,45.1,2019-20
Kentavious Caldwell-Pope,LAL,27,G,69,278,591,47,45.3,2019-20
Bojan Bogdanovic,UTA,31,F,63,291,618,47.1,45.2,2019-20
Al Horford,PHI,34,C-F,67,492,1040,47.3,47.5,2019-20
Myles Turner,IND,24,C-F,62,444,939,47.3,49.1,2019-20
Derrick White,SAS,25,G,67,384,812,47.3,46,2019-20
Joe Ingles,UTA,32,F-G,71,310,656,47.3,45.3,2019-20
Steven Adams,OKC,26,C,62,467,986,47.4,48.8,2019-20
Luka Doncic,DAL,21,F-G,59,334,704,47.4,45.7,2019-20
Langston Galloway,DET,28,G,65,261,551,47.4,44.6,2019-20
Lonzo Ball,NOP,22,G,63,401,844,47.5,45.7,2019-20
Jakob Poeltl,SAS,24,C,65,339,713,47.5,48.4,2019-20
Cory Joseph,SAC,28,G,72,331,697,47.5,45.8,2019-20
Isaac Bonga,WAS,20,G,64,244,514,47.5,45.6,2019-20
Jae Crowder,MIA,29,F,64,321,675,47.6,46,2019-20
Dwight Howard,LAL,34,C-F,69,315,662,47.6,47.4,2019-20
Devin Booker,PHX,23,G,70,395,828,47.7,45.4,2019-20
Kendrick Nunn,MIA,24,G,66,350,734,47.7,45,2019-20
Joe Harris,BKN,28,G-F,69,339,711,47.7,45.3,2019-20
Nerlens Noel,OKC,26,C-F,61,308,646,47.7,49.3,2019-20
Mo Bamba,ORL,22,C,62,239,501,47.7,47.9,2019-20
Mason Plumlee,DEN,30,F-C,61,299,625,47.8,47.6,2019-20
T.J. McConnell,IND,28,G,71,219,458,47.8,44.7,2019-20
Shai Gilgeous-Alexander,OKC,21,G-F,70,421,878,47.9,45.6,2019-20
Harrison Barnes,SAC,28,F,72,395,824,47.9,46.1,2019-20
JaVale McGee,LAL,32,C-F,68,290,606,47.9,49.1,2019-20
Seth Curry,DAL,29,G,63,236,493,47.9,44.3,2019-20
Royce O'Neale,UTA,27,F,71,411,856,48,46,2019-20
Delon Wright,DAL,28,G,72,268,558,48,45.1,2019-20
Buddy Hield,SAC,27,G,72,425,884,48.1,45.4,2019-20
Robert Covington,HOU,29,F,70,415,862,48.1,46.4,2019-20
Danny Green,LAL,33,G,68,376,782,48.1,46,2019-20
Ish Smith,WAS,31,G,68,327,678,48.2,44.5,2019-20
Josh Okogie,MIN,21,G,62,281,583,48.2,45.4,2019-20
Danuel House Jr.,HOU,27,F-G,63,374,774,48.3,45.5,2019-20
Jamal Murray,DEN,23,G,59,325,673,48.3,45.7,2019-20
Danilo Gallinari,OKC,31,F,62,303,627,48.3,47.2,2019-20
Will Barton,DEN,29,G,58,341,704,48.4,45.9,2019-20
James Ennis III,ORL,29,F,68,193,399,48.4,44.9,2019-20
Mikal Bridges,PHX,23,F,72,366,754,48.5,46,2019-20
Donovan Mitchell,UTA,23,G,69,323,664,48.6,45.1,2019-20
Tobias Harris,PHI,27,F,72,382,785,48.7,46.4,2019-20
Devonte' Graham,CHA,25,G,62,352,721,48.8,44.9,2019-20
Dejounte Murray,SAS,23,G,65,327,670,48.8,46.5,2019-20
Nikola Jokic,DEN,25,C,73,617,1261,48.9,49.8,2019-20
Kelly Olynyk,MIA,29,F-C,65,275,562,48.9,46.7,2019-20
Nemanja Bjelica,SAC,32,F,72,488,995,49,46.9,2019-20
Markelle Fultz,ORL,22,G,72,364,743,49,45,2019-20
Jaxson Hayes,NOP,20,C-F,63,275,561,49,48.3,2019-20
Chris Paul,OKC,35,G,70,340,692,49.1,45.8,2019-20
Trey Lyles,SAS,24,F,61,243,494,49.2,46.7,2019-20
Thon Maker,DET,23,F-C,59,221,449,49.2,48.6,2019-20
Cedi Osman,CLE,25,F,65,317,643,49.3,45.6,2019-20
Tony Snell,DET,28,G,58,286,580,49.3,46.3,2019-20
Jeff Teague,ATL,32,G,59,239,484,49.4,45.2,2019-20
Solomon Hill,MIA,29,F,58,192,389,49.4,45.8,2019-20
Terry Rozier,CHA,26,G,62,376,760,49.5,45.4,2019-20
Marquese Chriss,GSW,22,F,59,298,601,49.6,47.7,2019-20
Nikola Vucevic,ORL,29,C,62,558,1122,49.7,48.3,2019-20
Ben McLemore,HOU,27,G,71,285,571,49.9,45.1,2019-20
DeMar DeRozan,SAS,30,G-F,67,316,631,50.1,46.6,2019-20
Evan Fournier,ORL,27,G-F,66,378,752,50.3,45.5,2019-20
Tomas Satoransky,CHI,28,G,65,306,608,50.3,46,2019-20
Trae Young,ATL,21,G,60,388,761,51,44.6,2019-20
De'Anthony Melton,MEM,22,G,60,239,469,51,46,2019-20
Troy Brown Jr.,WAS,20,G-F,69,367,718,51.1,45.5,2019-20
Ricky Rubio,PHX,29,G,64,346,677,51.1,45,2019-20
Georges Niang,UTA,27,F,65,158,309,51.1,44.5,2019-20
Glenn Robinson III,PHI,26,F,62,347,677,51.3,46.6,2019-20
JJ Redick,NOP,36,G,60,219,423,51.8,45.3,2019-20
Bryn Forbes,SAS,26,G,62,285,549,51.9,45.1,2019-20
Collin Sexton,CLE,21,G,65,414,787,52.6,45.2,2019-20
Darius Garland,CLE,20,G,59,368,700,52.6,44.9,2019-20
Coby White,CHI,20,G,65,283,526,53.8,45.1,2019-20
Wes Iwundu,ORL,24,F,68,182,464,39.2,44.1,2018-19
Giannis Antetokounmpo,MIL,24,F,72,343,845,40.6,46.5,2018-19
Pascal Siakam,TOR,25,F,80,454,1100,41.3,46.2,2018-19
Tyreke Evans,IND,29,G,69,198,477,41.5,44.8,2018-19
Shaun Livingston,GSW,33,G,64,138,332,41.6,44.3,2018-19
Hassan Whiteside,MIA,30,C,72,408,975,41.8,47.7,2018-19
Evan Turner,POR,30,G-F,73,283,677,41.8,44.7,2018-19
Kyle Lowry,TOR,33,G,65,338,805,42,45.2,2018-19
Michael Kidd-Gilchrist,CHA,25,F,62,234,556,42.1,46.7,2018-19
Derrick Favors,UTA,27,F-C,74,421,997,42.2,47.4,2018-19
Mitchell Robinson,NYK,21,C,65,321,760,42.2,47.2,2018-19
Rodions Kurucs,BKN,21,F,62,222,526,42.2,45.8,2018-19
Kevin Durant,GSW,30,F,78,401,949,42.3,45.7,2018-19
Jayson Tatum,BOS,21,F,79,361,854,42.3,45.1,2018-19
Seth Curry,POR,28,G,73,205,485,42.3,43.7,2018-19
Norman Powell,TOR,26,F-G,59,153,362,42.3,44.5,2018-19
Draymond Green,GSW,29,F,66,415,977,42.5,46.6,2018-19
Klay Thompson,GSW,29,G,78,367,864,42.5,45.1,2018-19
Bruce Brown,DET,22,G,73,264,621,42.5,45.3,2018-19
Gordon Hayward,BOS,29,F,71,224,527,42.5,45.6,2018-19
Joel Embiid,PHI,25,F-C,61,580,1363,42.6,47.7,2018-19
Maxi Kleber,DAL,27,F,71,309,723,42.7,46.3,2018-19
Kevon Looney,GSW,23,C-F,80,402,937,42.9,46.7,2018-19
Pat Connaughton,MIL,26,G,60,235,546,43,43.9,2018-19
Juancho Hernangomez,DEN,23,F,68,230,535,43,45.6,2018-19
Marcus Smart,BOS,25,G,80,344,799,43.1,44.9,2018-19
Josh Hart,LAL,24,G,67,323,750,43.1,45,2018-19
Jae Crowder,UTA,28,F,78,299,693,43.1,45.7,2018-19
Dorian Finney-Smith,DAL,26,F,80,348,804,43.3,45.9,2018-19
Rudy Gay,SAS,32,F,69,265,611,43.4,46,2018-19
Paul George,OKC,29,F,76,473,1087,43.5,45.8,2018-19
Eric Bledsoe,MIL,29,G,78,358,823,43.5,44.7,2018-19
Langston Galloway,DET,27,G,79,248,570,43.5,44.6,2018-19
Jusuf Nurkic,POR,24,C,72,520,1194,43.6,49,2018-19
Jonathan Isaac,ORL,21,F,73,294,675,43.6,46.3,2018-19
JaMychal Green,LAC,29,F,65,201,461,43.6,45.8,2018-19
Mike Scott,PHI,30,F,78,193,442,43.7,45.2,2018-19
Jaylen Brown,BOS,22,G,74,322,735,43.8,45.2,2018-19
Kawhi Leonard,TOR,28,F,60,278,634,43.8,45.7,2018-19
Andre Iguodala,GSW,35,F-G,67,233,532,43.8,45.8,2018-19
Doug McDermott,IND,27,F,77,192,438,43.8,43.8,2018-19
Brook Lopez,MIL,31,C,81,736,1676,43.9,48.1,2018-19
Shai Gilgeous-Alexander,LAC,20,G,82,370,843,43.9,44.7,2018-19
Donovan Mitchell,UTA,22,G,75,312,711,43.9,44.4,2018-19
Marc Gasol,TOR,34,C,79,503,1142,44,48.1,2018-19
P.J. Tucker,HOU,34,F,81,445,1011,44,46.5,2018-19
Malcolm Brogdon,MIL,26,G,64,298,678,44,44.8,2018-19
Torrey Craig,DEN,28,F,72,253,575,44,45.7,2018-19
Nemanja Bjelica,SAC,31,F,77,394,894,44.1,46.4,2018-19
Dwyane Wade,MIA,37,G,72,272,616,44.2,44.5,2018-19
Nerlens Noel,OKC,25,F-C,76,248,561,44.2,47.9,2018-19
Jared Dudley,BKN,33,F,59,217,491,44.2,46.2,2018-19
Trey Lyles,DEN,23,F,63,207,468,44.2,46,2018-19
Derrick White,SAS,24,G,67,391,883,44.3,44.8,2018-19
Justise Winslow,MIA,23,F-G,66,339,765,44.3,45.7,2018-19
DeMarre Carroll,BKN,32,F,67,254,572,44.4,46.3,2018-19
Josh Richardson,MIA,25,G-F,73,414,930,44.5,44.9,2018-19
Richaun Holmes,PHX,25,F-C,69,306,688,44.5,47.8,2018-19
Jonas Jerebko,GSW,32,F,70,204,458,44.5,44.8,2018-19
Kyle Kuzma,LAL,23,F,70,357,800,44.6,46.3,2018-19
Shaquille Harrison,CHI,25,G,71,271,607,44.6,44.4,2018-19
Blake Griffin,DET,30,F,75,415,928,44.7,46.5,2018-19
Monte Morris,DEN,24,G,82,277,619,44.7,44.4,2018-19
Montrezl Harrell,LAC,25,F-C,82,568,1267,44.8,47.3,2018-19
Patrick Beverley,LAC,30,G,78,385,859,44.8,45,2018-19
Nicolas Batum,CHA,30,F-G,74,341,762,44.8,45.9,2018-19
Spencer Dinwiddie,BKN,26,G,68,287,640,44.8,44.8,2018-19
Stanley Johnson,NOP,23,F,63,175,391,44.8,45.6,2018-19
Rudy Gobert,UTA,27,C,79,747,1664,44.9,48.6,2018-19
Robin Lopez,CHI,31,C,72,458,1021,44.9,47.8,2018-19
Khris Middleton,MIL,27,F,77,330,735,44.9,45.2,2018-19
Darius Miller,NOP,29,F,69,278,619,44.9,44.8,2018-19
Anthony Tolliver,MIN,34,F,59,172,383,44.9,45.4,2018-19
Dario Saric,MIN,25,F,80,370,822,45,45.9,2018-19
Cory Joseph,IND,27,G,82,361,802,45,44.5,2018-19
Vince Carter,ATL,42,F-G,76,211,469,45,45.4,2018-19
Terrence Ross,ORL,28,G-F,79,335,742,45.1,44,2018-19
Terry Rozier,BOS,25,G,79,288,638,45.1,44.4,2018-19
Wayne Selden,CHI,24,G-F,72,209,463,45.1,45.2,2018-19
James Harden,HOU,29,G,77,510,1128,45.2,46.8,2018-19
DeAndre Jordan,NYK,30,C,69,435,962,45.2,48.9,2018-19
Bojan Bogdanovic,IND,30,F,81,374,827,45.2,45.2,2018-19
Stephen Curry,GSW,31,G,69,327,724,45.2,44.5,2018-19
Jordan Clarkson,CLE,27,G,81,323,715,45.2,44.1,2018-19
Jaren Jackson Jr.,MEM,19,F-C,58,285,630,45.2,47.6,2018-19
Rodney McGruder,LAC,27,F-G,64,240,531,45.2,44.9,2018-19
Tony Snell,MIL,27,G,73,207,458,45.2,44.2,2018-19
Thaddeus Young,IND,31,F,81,456,1006,45.3,46.8,2018-19
Bam Adebayo,MIA,21,C-F,82,382,844,45.3,46.9,2018-19
John Collins,ATL,21,F-C,61,360,795,45.3,46.5,2018-19
Noah Vonleh,NYK,23,F,66,343,758,45.3,47.2,2018-19
Julius Randle,NOP,24,C-F,73,436,960,45.4,47,2018-19
Justin Holiday,MEM,30,F-G,80,411,905,45.4,45.4,2018-19
Domantas Sabonis,IND,23,F,74,388,855,45.4,47.3,2018-19
Marco Belinelli,SAS,33,G-F,79,284,626,45.4,44.2,2018-19
T.J. McConnell,PHI,27,G,73,266,586,45.4,44.2,2018-19
LaMarcus Aldridge,SAS,33,C-F,81,643,1413,45.5,47.8,2018-19
Serge Ibaka,TOR,29,C-F,74,512,1125,45.5,47.5,2018-19
Aaron Gordon,ORL,23,F,76,410,902,45.5,46,2018-19
Davis Bertans,SAS,26,F,76,324,712,45.5,45.3,2018-19
Rodney Hood,POR,26,G,72,261,573,45.5,44.8,2018-19
Jrue Holiday,NOP,29,G,67,503,1103,45.6,45.3,2018-19
JaVale McGee,LAL,31,C,75,500,1097,45.6,48.5,2018-19
Kelly Olynyk,MIA,28,F,79,366,802,45.6,45.6,2018-19
Jamal Murray,DEN,22,G,75,341,748,45.6,45.3,2018-19
OG Anunoby,TOR,21,F,67,217,476,45.6,45.4,2018-19
Yogi Ferrell,SAC,26,G,66,165,362,45.6,43.2,2018-19
Ben Simmons,PHI,22,G-F,76,430,941,45.7,45.8,2018-19
Russell Westbrook,OKC,30,G,72,353,772,45.7,45.2,2018-19
Terrance Ferguson,OKC,21,G,73,312,682,45.7,44.8,2018-19
Clint Capela,HOU,25,C,66,537,1172,45.8,47.4,2018-19
Zach Collins,POR,21,F-C,77,333,727,45.8,45.9,2018-19
Kyle Korver,UTA,38,G-F,69,211,461,45.8,44.2,2018-19
Andrew Wiggins,MIN,24,F-G,73,453,988,45.9,45.7,2018-19
Justin Jackson,DAL,24,F,80,289,630,45.9,45.3,2018-19
Dewayne Dedmon,ATL,29,C,64,402,873,46,47.3,2018-19
Ed Davis,BKN,30,C,81,376,817,46,47.6,2018-19
Joe Harris,BKN,27,F-G,76,364,791,46,45.5,2018-19
Thon Maker,DET,22,F,64,235,511,46,47.2,2018-19
Al Horford,BOS,33,C-F,68,517,1121,46.1,47.9,2018-19
Zach LaVine,CHI,24,G,61,306,664,46.1,44.7,2018-19
Eric Gordon,HOU,30,G,67,284,616,46.1,45.4,2018-19
Al-Farouq Aminu,POR,28,F,81,413,894,46.2,46.6,2018-19
CJ McCollum,POR,27,G,70,396,857,46.2,44.9,2018-19
Larry Nance Jr.,CLE,26,F,67,389,842,46.2,47,2018-19
Mike Conley,MEM,31,G,70,368,797,46.2,44.8,2018-19
Emmanuel Mudiay,NYK,23,G,58,265,573,46.2,45.5,2018-19
Damian Lillard,POR,28,G,80,421,909,46.3,44.5,2018-19
DeMar DeRozan,SAS,29,G,77,359,775,46.3,44.9,2018-19
Alfonzo McKinnie,GSW,26,F,69,163,352,46.3,45.2,2018-19
Dennis Schroder,OKC,25,G,78,421,908,46.4,44.9,2018-19
Mike Muscala,LAL,27,F-C,61,298,642,46.4,46.9,2018-19
Maurice Harkless,POR,26,F,60,252,543,46.4,45.6,2018-19
Patrick Patterson,OKC,30,F,60,170,366,46.4,46.7,2018-19
Myles Turner,IND,23,C-F,74,575,1237,46.5,48.6,2018-19
D'Angelo Russell,BKN,23,G,81,413,889,46.5,44.9,2018-19
Paul Millsap,DEN,34,F,70,408,877,46.5,46.9,2018-19
Garrett Temple,LAC,33,G-F,75,346,744,46.5,45.1,2018-19
Wesley Matthews,IND,32,G-F,69,319,686,46.5,45.7,2018-19
Daniel Theis,BOS,27,F,66,255,548,46.5,47.3,2018-19
Kelly Oubre Jr.,PHX,23,F,69,327,702,46.6,45.7,2018-19
Kemba Walker,CHA,29,G,81,530,1134,46.7,45.2,2018-19
Jeff Green,WAS,32,F,76,448,959,46.7,46.5,2018-19
De'Aaron Fox,SAC,21,G,81,442,946,46.7,45,2018-19
Jake Layman,POR,25,F,69,199,426,46.7,44.1,2018-19
Harry Giles III,SAC,21,F-C,58,183,392,46.7,48,2018-19
Tobias Harris,PHI,26,F,82,493,1054,46.8,46.3,2018-19
Jerami Grant,OKC,25,F,79,458,979,46.8,46.7,2018-19
Josh Jackson,PHX,22,F,79,370,791,46.8,45.2,2018-19
Landry Shamet,LAC,22,G,76,296,633,46.8,44.6,2018-19
Lance Stephenson,LAL,28,G,65,156,333,46.8,44.8,2018-19
Nikola Jokic,DEN,24,C,80,667,1422,46.9,49.3,2018-19
Marvin Williams,CHA,33,F,74,395,842,46.9,46.4,2018-19
Dwight Powell,DAL,27,F-C,76,385,821,46.9,46.8,2018-19
Harrison Barnes,SAC,27,F,77,377,803,46.9,46.9,2018-19
