BLK,DWS,DBPM,DRtg,DRB,DFG_PCT,charges,Deflections,def_LB,Height,Weight,Position,vote_getter,Share,MP,w_L_pct,Player,Season,DFGA,DPOY,STL
47,0.6,-0.9,121,142,43.6,0,77,12,77,215,G,No,0,1641,0.305,ochai agbaji,2023-24,725,0,47
137,2.9,0.3,103,394,41.9,4,98,0,87,240,F,No,0,2047,0.39,kristaps porzingis,2015-16,977,0,50
134,3.9,3.1,102,350,40.2,0,92,33,81,237,C,No,0,1804,0.622,robert williams iii,2021-22,821,0,55
67,2.2,0.3,112,296,47.5,3,95,15,80,243,F,No,0,1624,0.61,precious achiuwa,2023-24,874,0,44
16,1.6,0.4,113,126,44.3,1,113,20,77,190,G,No,0,1228,0.695,aaron wiggins,2023-24,578,0,55
34,2.6,0.8,113,241,44.5,0,146,20,78,205,G,No,0,1958,0.585,caris levert,2023-24,710,0,75
87,2.2,0.8,111,202,42.4,0,80,24,79,200,G,No,0,1488,0.695,peyton watson,2023-24,706,0,40
7,0.7,-0.5,121,105,46.4,4,109,21,76,191,G,No,0,1697,0.573,andrew nembhard,2023-24,700,0,60
24,2,0.3,112,230,48.9,24,93,17,83,245,F,No,0,1415,0.573,moritz wagner,2023-24,663,0,40
24,2,0.3,112,230,48.9,24,93,17,83,245,F,No,0,1415,0.573,moritz wagner,2023-24,663,0,40
42,0.9,-1.2,116,131,48,3,21,5,84,281,C,No,0,1354,0.472,robin lopez,2020-21,871,0,14
46,1.6,0.4,105,105,44.4,1,20,4,84,281,C,No,0,958,0.767,robin lopez,2019-20,692,0,13
79,0.7,-1.4,115,146,44.9,0,25,7,84,275,C,No,0,1606,0.268,robin lopez,2018-19,1021,0,7
40,1.6,-0.1,117,208,46.1,0,111,21,79,220,F,No,0,1934,0.39,dorian finneysmith,2023-24,805,0,54
61,2.9,0.6,114,332,47.6,3,192,43,79,225,F,No,0,2330,0.622,kawhi leonard,2023-24,828,0,109
27,1.5,-0.5,117,106,45.1,0,99,22,75,215,G,No,0,1893,0.598,eric gordon,2023-24,519,0,68
51,0.7,-1.3,114,156,48.1,1,18,21,84,277,C,No,0,1690,0.329,robin lopez,2017-18,967,0,13
113,2.4,-0.8,108,276,49.1,0,42,0,84,255,C,No,0,2271,0.5,robin lopez,2016-17,1240,0,16
131,2.1,-0.5,107,334,47.2,1,76,0,84,255,C,No,0,2219,0.39,robin lopez,2015-16,1071,0,16
83,1.9,0.1,104,204,45.8,0,48,0,84,255,C,No,0,1638,0.622,robin lopez,2014-15,769,0,18
146,2.2,-0.1,115,420,49.2,3,111,9,83,250,C,No,0,2076,0.573,myles turner,2023-24,1155,0,38
73,3.8,1.1,107,350,47.5,1,103,15,81,264,C,No,0,1964,0.683,naz reid,2023-24,787,0,65
139,2.6,-0.1,107,374,43.4,0,73,0,84,255,C,No,0,2603,0.659,robin lopez,2013-14,1315,0,25
106,2.8,0.4,113,280,46.7,2,180,22,82,242,F,No,0,2124,0.329,jaren jackson jr,2023-24,912,0,79
47,2.2,-0.3,118,297,47.4,5,137,23,78,220,G,No,0,2989,0.476,demar derozan,2023-24,950,0,86
27,1.1,0.9,113,142,45.9,0,60,11,84,220,C,No,0,877,0.573,jaxson hayes,2023-24,503,0,34
22,1.6,-0.9,116,357,47.7,4,76,17,79,227,F,No,0,1700,0.256,jabari walker,2023-24,614,0,43
189,3.8,2,105,318,44.4,0,124,27,82,242,F,Yes,0.782,1787,0.622,jaren jackson jr,2022-23,890,1,63
179,3.7,0.8,106,335,41.8,0,136,28,83,242,F,Yes,0.198,2126,0.683,jaren jackson jr,2021-22,956,0,70
48,2.7,-0.1,114,373,46.3,0,110,29,80,226,F,No,0,2368,0.573,tobias harris,2023-24,866,0,69
30,1.6,1.4,113,276,46.4,0,39,11,81,222,F,No,0,1195,0.561,kevon looney,2023-24,755,0,30
28,1.5,1.9,110,198,49.7,19,52,13,81,240,F,No,0,897,0.695,jaylin williams,2023-24,503,0,28
65,2.7,2,111,331,46.5,0,65,19,81,240,C,No,0,1740,0.78,al horford,2023-24,873,0,39
35,1.4,0,117,204,49.8,13,141,21,79,226,F,No,0,1739,0.256,toumani camara,2023-24,699,0,63
23,1.3,-1.2,119,179,45.6,0,93,16,76,215,G,No,0,1990,0.622,norman powell,2023-24,629,0,46
81,2.2,1,107,199,45.2,0,78,33,83,242,F,No,0,1515,0.402,jaren jackson jr,2018-19,630,0,52
153,2.5,1.9,112,367,48.8,5,115,24,82,234,F,No,0,1815,0.61,daniel gafford,2023-24,1126,0,66
178,5,1.5,98,336,41.8,10,86,0,86,290,C,Yes,0.266,2409,0.683,roy hibbert,2013-14,1134,0,32
154,4.7,2.8,97,534,44.6,1,132,0,83,250,F,Yes,0.019,2227,0.671,tim duncan,2014-15,1010,0,62
66,3.1,0.5,110,535,51.7,0,52,22,83,265,C,No,0,1925,0.598,jonas valanciunas,2023-24,971,0,33
30,2,-1.1,117,293,47.6,7,117,28,74,185,G,No,0,2421,0.561,stephen curry,2023-24,821,0,52
141,4.6,2.1,98,563,44.9,13,91,0,83,250,F,Yes,0.008,2158,0.756,tim duncan,2013-14,969,0,44
112,3.9,2.3,109,557,47.8,2,97,23,84,280,C,Yes,0.014,2284,0.659,joel embiid,2022-23,1266,0,66
7,1.1,0.1,117,155,52.4,7,142,38,73,190,G,No,0,1291,0.573,tj mcconnell,2023-24,435,0,71
79,3.6,3.1,96,332,43.2,2,132,0,83,250,C,No,0,1536,0.817,tim duncan,2015-16,687,0,49
44,1.3,-0.1,117,164,45.6,0,92,21,79,217,F,No,0,1468,0.268,julian champagnie,2023-24,640,0,44
44,1.3,-0.1,117,164,45.6,0,92,21,79,217,F,No,0,1468,0.268,julian champagnie,2023-24,640,0,44
38,1.3,-0.7,119,232,48.4,12,77,13,78,236,F,No,0,2130,0.256,grant williams,2023-24,901,0,46
60,1.6,-0.4,116,366,48.7,0,64,16,83,250,C,No,0,1670,0.207,jalen duren,2022-23,855,0,47
