BLK,DWS,DBPM,DRtg,DRB,DFG_PCT,charges,Deflections,def_LB,Height,Weight,Position,vote_getter,Share,MP,w_L_pct,Player,Season,DFGA,DPOY,STL
73,3.2,0.1,110,662,48.8,2,158,17,82,260,C,No,0,2418,0.561,nikola vucevic,2021-22,1460,0,73
36,1.5,0.7,114,203,47.4,19,165,33,78,205,F,No,0,1866,0.524,cody martin,2021-22,737,0,85
36,1.5,0.7,114,203,47.4,19,165,33,78,205,F,No,0,1866,0.524,cody martin,2021-22,737,0,85
78,1.8,-0.8,112,391,44.2,0,46,9,80,250,F,No,0,1816,0.28,isaiah stewart,2021-22,1021,0,21
30,1.8,-1.1,102,216,48.5,0,46,0,82,255,C,No,0,1207,0.817,marreese speights,2014-15,567,0,23
26,1.8,-0.1,110,249,50,1,97,43,80,200,G,No,0,1981,0.439,nicolas batum,2017-18,538,0,64
45,2,-1.1,114,314,44.9,1,68,19,80,235,F,No,0,2376,0.585,aaron gordon,2021-22,880,0,45
48,1.7,-1.4,113,511,50.8,0,50,10,82,250,C,No,0,1758,0.583,enes freedom,2020-21,1036,0,34
12,1,-1.1,114,146,45.8,2,71,12,75,178,G,No,0,1367,0.293,tre mann,2021-22,483,0,48
7,1.7,-0.3,113,209,45.7,2,57,19,77,206,G,No,0,1919,0.512,luke kennard,2021-22,595,0,42
55,1.4,-0.8,114,226,45.5,0,79,13,79,238,F,No,0,1793,0.402,carmelo anthony,2021-22,705,0,48
41,1.7,-0.3,106,285,47.6,34,51,0,82,255,F,No,0,1286,0.622,marreese speights,2016-17,636,0,25
17,1.8,0.4,109,151,47.4,5,95,12,73,183,G,No,0,1278,0.78,cameron payne,2021-22,418,0,41
20,0.8,-0.1,116,145,47,4,83,19,75,200,G,No,0,1600,0.28,cory joseph,2021-22,619,0,39
12,0.7,-0.4,114,96,45.4,0,76,17,73,200,G,No,0,905,0.622,jevon carter,2021-22,317,0,24
0,1.6,0.5,112,159,46.1,1,93,19,72,196,G,No,0,1549,0.683,tyus jones,2021-22,462,0,65
7,2.4,-0.9,111,297,45.7,1,79,35,77,195,G,No,0,2151,0.646,tyler herro,2021-22,775,0,46
0,2.7,0,112,266,46.1,17,81,27,73,190,G,No,0,2524,0.634,jalen brunson,2021-22,789,0,63
37,1.6,0.8,111,125,48,2,122,18,78,215,G,No,0,1353,0.622,danny green,2021-22,589,0,62
30,1.2,-0.2,114,156,46.3,1,110,16,76,234,G,No,0,1511,0.402,talen hortontucker,2021-22,656,0,60
12,0.7,-1.4,115,286,43.3,8,72,0,82,225,F,No,0,2134,0.488,danilo gallinari,2016-17,691,0,37
30,1.2,-1.3,115,190,47.2,11,43,12,80,235,F,No,0,1849,0.585,jeff green,2021-22,797,0,30
81,2.6,0.9,102,333,44.4,0,36,6,84,270,C,No,0,1172,0.78,javale mcgee,2021-22,762,0,22
16,1.2,-1.5,116,201,45.5,2,64,18,76,187,G,No,0,1976,0.561,malik beasley,2021-22,598,0,40
39,2.7,0.3,111,445,47,2,139,30,77,220,G,No,0,2419,0.622,james harden,2021-22,880,0,84
104,2.3,1.4,104,328,47.5,2,37,17,84,265,C,No,0,1162,0.598,hassan whiteside,2021-22,749,0,20
23,1.4,-0.6,116,220,47,1,149,27,77,204,G,No,0,2329,0.427,kentavious caldwellpope,2021-22,728,0,85
31,2.8,0.2,108,435,44.8,1,160,0,80,200,G,No,0,2617,0.439,nicolas batum,2016-17,699,0,85
27,1.6,-1.5,111,402,48.8,0,53,18,83,250,C,No,0,1640,0.646,enes freedom,2018-19,936,0,34
30,1.5,-0.9,103,189,48,10,46,0,82,255,F,No,0,982,0.622,marreese speights,2013-14,381,0,8
20,3.6,2.3,107,261,47.5,2,175,39,72,175,G,No,0,2139,0.78,chris paul,2021-22,634,0,124
42,2.9,0.1,105,373,43.4,2,114,11,80,200,G,No,0,2448,0.585,nicolas batum,2015-16,694,0,63
36,1.2,-1.5,103,162,45.8,0,56,0,82,255,F,No,0,832,0.89,marreese speights,2015-16,450,0,21
61,3,1,108,411,50,2,122,21,83,265,C,No,0,1999,0.683,steven adams,2021-22,1065,0,68
13,1.1,0.2,110,221,43.8,2,90,23,82,230,F,No,0,1371,0.573,nemanja bjelica,2017-18,569,0,46
44,2.6,-0.6,112,419,46.4,0,90,19,79,226,F,No,0,2543,0.622,tobias harris,2021-22,899,0,44
43,3.2,1.8,103,354,43.3,1,179,7,80,200,F,No,0,2380,0.622,nicolas batum,2014-15,725,0,78
20,2.2,-0.3,112,315,47.1,2,147,20,79,222,F,No,0,2141,0.622,khris middleton,2021-22,832,0,79
13,1.4,-0.4,115,234,46,3,70,18,78,215,G,No,0,1980,0.634,spencer dinwiddie,2021-22,719,0,47
23,2.9,-0.3,110,226,46.7,2,90,24,76,194,G,No,0,2283,0.646,jordan poole,2021-22,662,0,61
18,1,-0.2,109,187,47.8,0,97,0,82,225,F,No,0,1426,0.366,danilo gallinari,2014-15,487,0,47
17,1.5,0.7,111,208,46.5,0,125,29,77,202,G,No,0,1269,0.28,hamidou diallo,2021-22,447,0,70
17,1.5,0.7,111,208,46.5,0,125,29,77,202,G,No,0,1269,0.28,hamidou diallo,2021-22,447,0,70
29,1.2,-0.8,114,290,50.2,8,67,13,81,234,F,No,0,1537,0.366,trey lyles,2021-22,697,0,29
19,0.9,0.2,111,187,44.5,2,81,0,82,225,F,No,0,1190,0.378,nemanja bjelica,2016-17,481,0,38
40,0.9,-2.4,112,376,50.5,2,80,0,83,247,C,No,0,2138,0.305,enes freedom,2013-14,889,0,32
12,1.1,-0.6,114,103,45.8,0,61,11,81,185,F,No,0,1346,0.683,ziaire williams,2021-22,530,0,37
16,0.9,-1.4,117,138,46.8,7,81,19,72,180,G,No,0,2346,0.537,patty mills,2021-22,725,0,49
15,1.5,2.4,112,170,48.5,2,149,26,77,185,G,No,0,1452,0.524,delon wright,2021-22,546,0,91
24,0.6,0.2,110,161,46.7,4,66,0,82,240,F,No,0,1075,0.354,nemanja bjelica,2015-16,488,0,24
15,1.2,-1.2,116,140,47.8,7,125,29,73,195,G,No,0,2162,0.439,devonte graham,2021-22,715,0,68
41,3.2,0.8,110,452,46.9,0,136,37,80,230,F,No,0,2578,0.585,pascal siakam,2021-22,1112,0,88
57,3.1,1.2,106,495,45.5,11,154,8,80,200,F,No,0,2956,0.659,nicolas batum,2013-14,935,0,74
27,1.4,0.1,109,200,50.3,6,79,8,80,227,F,No,0,1085,0.585,jamychal green,2021-22,437,0,40
48,4,0,112,472,48.3,0,112,23,82,250,F,No,0,2799,0.573,paolo banchero,2023-24,1131,0,72
13,2.5,-0.3,111,227,49.6,3,158,36,73,215,G,No,0,2266,0.598,donovan mitchell,2021-22,641,0,100
12,0.8,-1.7,117,165,48,3,55,18,76,195,G,No,0,1675,0.561,coby white,2021-22,654,0,30
36,2.6,-0.7,114,413,47.3,6,90,19,82,250,F,No,0,2430,0.415,paolo banchero,2022-23,958,0,58
6,1,-0.4,116,86,46.6,1,107,23,76,210,G,No,0,1730,0.268,gary harris,2021-22,552,0,61
68,1.8,0.4,117,436,50.4,9,133,17,83,243,C,No,0,2171,0.268,alperen sengun,2022-23,1158,0,68
15,1.5,-0.8,115,199,48.4,2,87,23,74,183,G,No,0,2239,0.585,monte morris,2021-22,692,0,52
65,1.3,0.6,113,255,51,11,121,15,82,243,C,No,0,1489,0.244,alperen sengun,2021-22,877,0,58
30,1,-0.7,117,222,47.1,0,130,23,79,198,G,No,0,2188,0.524,kevin huerter,2021-22,836,0,52
35,3.3,2.2,106,324,41.7,3,202,29,83,240,G,Yes,0.574,1877,0.681,ben simmons,2020-21,684,0,93
29,0.8,-1,115,181,46,0,139,36,80,218,F,No,0,1551,0.299,cam reddish,2019-20,581,0,64
61,3.6,1.3,108,525,45.7,0,215,69,82,230,G,No,0,2700,0.622,ben simmons,2018-19,941,0,106
72,5,2.5,102,514,41.2,3,234,74,82,230,G,No,0,2732,0.634,ben simmons,2017-18,958,0,136
45,1.9,-0.5,113,296,47,2,147,34,78,220,G,No,0,2088,0.28,cade cunningham,2021-22,930,0,77
53,1.6,-0.3,116,168,46,1,122,15,78,210,F,No,0,1783,0.61,derrick jones jr,2023-24,665,0,53
43,1.6,-1.2,117,213,47.1,0,88,14,79,197,F,No,0,1920,0.561,andrew wiggins,2023-24,780,0,43
56,3.1,-1.2,114,459,50.4,0,86,8,82,218,F,No,0,2565,0.695,michael porter jr,2023-24,782,0,40
37,1.2,0.8,112,93,41.8,0,65,9,78,210,F,No,0,893,0.488,derrick jones jr,2022-23,354,0,30
25,1,-1.3,117,216,47.3,1,96,23,75,190,G,No,0,2145,0.439,cj mccollum,2021-22,827,0,68
38,3.8,1.5,100,351,40.3,4,194,10,77,201,F,No,0,2083,0.585,kent bazemore,2015-16,640,0,98
23,2.3,-0.9,114,470,49.5,9,142,37,75,200,G,No,0,2678,0.402,russell westbrook,2021-22,833,0,78
23,1.8,-0.9,115,336,48.3,1,118,20,78,220,G,No,0,2743,0.561,demar derozan,2021-22,762,0,68
13,1.6,0.3,113,228,47.4,1,81,27,77,209,G,No,0,1691,0.622,pat connaughton,2021-22,751,0,58
26,1.1,-1.1,114,150,48.9,2,108,16,77,205,G,No,0,1466,0.598,nickeil alexanderwalker,2021-22,540,0,45
66,3.1,1.4,102,451,49.7,0,156,15,82,279,C,No,0,1437,0.537,andre drummond,2021-22,784,0,80
8,1,-2,118,234,47.9,6,131,31,73,164,G,No,0,2652,0.524,trae young,2021-22,838,0,68
20,1.3,-1.5,116,286,47.4,1,69,16,77,200,G,No,0,2328,0.561,zach lavine,2021-22,780,0,40
30,1.4,0.1,111,301,48.7,1,103,10,81,225,F,No,0,1279,0.366,chimezie metu,2021-22,563,0,53
15,1.3,-1.1,115,178,48.4,3,53,14,79,230,F,No,0,1736,0.622,georges niang,2021-22,713,0,30
14,3.8,-0.1,101,522,48,11,97,13,81,260,F,No,0,2304,0.671,zach randolph,2014-15,811,0,71
22,1.6,-0.7,115,259,48.9,5,143,31,73,190,G,No,0,2458,0.524,terry rozier,2021-22,899,0,95
31,1.8,-1.8,115,277,48.3,0,80,16,82,218,F,No,0,1798,0.646,michael porter jr,2022-23,545,0,37
101,1.6,0.5,111,252,49.2,1,85,14,81,234,F,No,0,1444,0.427,daniel gafford,2021-22,865,0,29
23,3.5,-0.9,105,530,49.5,11,99,0,81,260,F,No,0,2705,0.61,zach randolph,2013-14,998,0,55
68,2,-0.4,113,576,47.1,0,84,20,81,214,F,No,0,2094,0.244,christian wood,2021-22,1112,0,54
51,3.4,0.1,109,240,43.5,1,106,14,79,197,F,No,0,2330,0.646,andrew wiggins,2021-22,1031,0,73
22,0.7,-1.5,118,156,47.5,0,47,21,78,224,F,No,0,1801,0.427,corey kispert,2021-22,604,0,38
42,2.5,1.5,109,300,48.6,0,147,28,78,229,F,No,0,1749,0.268,chuma okeke,2021-22,675,0,98
12,0.7,-0.7,115,101,47.9,2,43,7,76,201,G,No,0,975,0.561,jaylen nowell,2021-22,326,0,24
24,0.8,-1.6,117,224,51.1,1,129,24,76,203,G,No,0,1907,0.244,kevin porter jr,2021-22,745,0,67
24,1,-1.2,117,206,49.5,3,149,15,75,185,G,No,0,2084,0.366,deaaron fox,2021-22,826,0,71
51,2.8,1.1,106,186,42.2,7,197,0,77,201,F,No,0,1963,0.524,kent bazemore,2016-17,687,0,88
16,2.8,0.4,99,305,43.1,0,37,0,81,240,F,No,0,1399,0.683,luis scola,2013-14,489,0,24
70,2.7,-0.4,111,265,44.3,0,99,30,79,197,F,No,0,2364,0.542,andrew wiggins,2020-21,1046,0,63
36,2.8,1.6,107,264,50.1,1,206,31,74,200,G,No,0,1657,0.683,deanthony melton,2021-22,684,0,102
23,1,-1.2,116,171,49.2,2,90,25,78,205,G,No,0,1781,0.537,caris levert,2021-22,600,0,52
16,2.7,0.2,101,388,45.1,6,74,0,81,240,F,No,0,1659,0.463,luis scola,2014-15,528,0,48
20,1.2,0,112,148,51.8,10,85,7,78,218,F,No,0,1177,0.561,taurean prince,2021-22,481,0,47
56,2.7,1,101,341,45.4,7,133,0,82,220,F,No,0,1654,0.61,nikola mirotic,2014-15,650,0,56
12,1,0.1,112,190,51.1,14,53,10,83,245,F,No,0,960,0.268,moritz wagner,2021-22,517,0,18
12,1,0.1,112,190,51.1,14,53,10,83,245,F,No,0,960,0.268,moritz wagner,2021-22,517,0,18
54,2.1,-0.9,112,354,46.9,0,74,22,82,218,F,No,0,1912,0.653,michael porter jr,2020-21,697,0,42
14,0.7,-1.3,117,134,54.2,1,133,19,75,215,G,No,0,1334,0.244,josh christopher,2021-22,480,0,65
69,2.2,0.3,111,365,48.5,0,81,19,80,208,F,No,0,1924,0.293,darius bazley,2021-22,987,0,55
56,2.5,0.5,105,323,41.8,3,103,0,82,238,F,No,0,1679,0.5,nikola mirotic,2016-17,648,0,56
65,2.5,0.7,99,305,44.8,0,50,0,84,265,C,No,0,1348,0.671,kosta koufos,2014-15,518,0,32
24,1.1,-1.7,117,287,50.6,0,139,24,76,220,G,No,0,2499,0.305,buddy hield,2021-22,1054,0,73
35,1.3,0,109,238,50.6,0,80,9,82,265,C,No,0,971,0.402,dwight howard,2021-22,510,0,35
28,1.9,-0.9,114,296,49.1,0,95,15,77,181,G,No,0,2277,0.585,will barton,2021-22,747,0,57
7,1.1,-0.3,115,95,49.6,0,97,14,76,200,G,No,0,1480,0.585,austin rivers,2021-22,476,0,54
7,2.4,-1.6,106,416,48.8,1,105,0,81,260,F,No,0,1786,0.524,zach randolph,2016-17,642,0,36
46,2.2,0.4,104,304,45.6,0,131,0,82,220,F,No,0,1646,0.512,nikola mirotic,2015-16,697,0,59
18,1.1,-1.5,113,184,47.9,0,51,10,80,225,F,No,0,1185,0.622,jordan nwora,2021-22,453,0,24
18,1.1,-1.5,113,184,47.9,0,51,10,80,225,F,No,0,1185,0.622,jordan nwora,2021-22,453,0,24
51,1.3,-1.8,115,269,45.9,0,121,47,80,194,F,No,0,2543,0.439,andrew wiggins,2018-19,988,0,73
13,0.9,-1.1,116,141,48,0,64,9,78,206,G,No,0,1448,0.268,terrence ross,2021-22,423,0,25
15,1,-1.3,118,350,49.6,1,73,23,80,225,F,No,0,2580,0.366,harrison barnes,2021-22,898,0,54
6,0.9,-0.1,116,105,53.4,2,96,18,75,180,G,No,0,1406,0.402,avery bradley,2021-22,496,0,56
27,0.9,-1.7,116,250,54.3,3,74,18,79,210,F,No,0,1564,0.305,oshae brissett,2021-22,619,0,47
71,2.2,0.1,101,258,45.3,2,52,0,84,265,C,No,0,1349,0.61,kosta koufos,2013-14,548,0,32
33,2.1,1.7,108,203,42.5,5,143,19,76,195,G,No,0,1333,0.542,kent bazemore,2020-21,597,0,66
12,0.2,-2.5,120,91,51.5,1,66,14,75,195,G,No,0,1285,0.329,ben mclemore,2021-22,406,0,37
62,1.6,-1.5,110,309,47.1,0,50,25,83,234,F,No,0,1567,0.476,marvin bagley iii,2018-19,660,0,31
14,2,-0.4,115,158,46.8,3,94,19,79,215,F,No,0,1905,0.561,duncan robinson,2023-24,575,0,48
192,5.2,2.8,101,720,41.3,4,96,21,85,258,C,Yes,0.928,2187,0.722,rudy gobert,2020-21,1583,1,43
50,3.4,3.3,106,394,44.7,17,181,26,78,230,F,Yes,0.152,1982,0.542,draymond green,2020-21,918,0,105
16,2,-0.3,112,179,47.6,11,63,20,79,215,F,No,0,2043,0.646,duncan robinson,2021-22,717,0,40
29,1.9,0.8,111,250,42.4,8,89,18,78,235,F,No,0,1648,0.708,jae crowder,2020-21,585,0,46
45,2,1,108,223,48.8,1,186,55,77,201,G,No,0,1789,0.293,kent bazemore,2017-18,604,0,96
30,1.9,-0.3,105,276,49,5,67,0,81,240,F,No,0,1636,0.683,luis scola,2015-16,569,0,45
29,1.9,1.1,102,201,42.6,1,90,0,77,201,G,No,0,1324,0.732,kent bazemore,2014-15,467,0,50
49,1.6,-1.7,113,276,46.3,0,139,52,80,202,F,No,0,2979,0.573,andrew wiggins,2017-18,1098,0,90
139,3.6,3.8,101,266,46.9,4,179,11,83,220,C,No,0,1547,0.569,nerlens noel,2020-21,717,0,69
35,2.2,0.6,111,195,46,2,186,34,75,205,G,Yes,0.012,1907,0.639,jrue holiday,2020-21,768,0,93
38,1.7,0,111,261,43.3,2,97,19,80,250,F,No,0,1358,0.458,rudy gay,2020-21,559,0,44
20,2.2,1.5,107,144,44.2,6,93,22,76,234,G,No,0,1304,0.583,talen hortontucker,2020-21,527,0,65
21,1.8,-0.8,114,243,48.4,13,84,25,79,215,F,No,0,2262,0.556,duncan robinson,2020-21,812,0,42
21,1.6,-1,113,222,45.1,9,81,25,79,215,F,No,0,2166,0.603,duncan robinson,2019-20,736,0,36
41,1.5,0.3,112,267,44.4,6,186,36,76,195,G,No,0,1688,0.431,kent bazemore,2019-20,721,0,75
21,1.7,0.4,115,193,44.3,1,160,25,79,190,G,No,0,2126,0.569,kevin huerter,2020-21,797,0,83
36,1.5,-0.2,108,323,44,0,87,18,84,265,C,No,0,1391,0.329,kosta koufos,2017-18,646,0,50
37,1.8,1.8,110,183,43.9,4,103,23,78,215,G,No,0,1339,0.556,andre iguodala,2020-21,492,0,55
14,1.5,-1.7,109,350,49.1,0,90,0,81,260,F,No,0,2016,0.512,zach randolph,2015-16,688,0,41
24,1.6,0,114,228,43.5,1,101,23,79,220,F,No,0,1921,0.583,dorian finneysmith,2020-21,695,0,54
55,3.1,1.5,108,205,44.7,1,173,28,78,215,G,No,0,1934,0.681,danny green,2020-21,906,0,90
6,2.5,0.4,111,316,45.5,9,134,25,75,185,G,No,0,2152,0.542,stephen curry,2020-21,505,0,74
21,4.3,0.9,107,639,44.2,2,94,28,80,250,F,No,0,2667,0.569,julius randle,2020-21,1030,0,63
19,1.2,0.5,114,189,46.2,7,117,18,78,210,G,No,0,1426,0.306,kenrich williams,2020-21,535,0,50
114,2.1,0.6,109,287,44.7,2,64,16,81,200,F,No,0,1453,0.375,chris boucher,2020-21,799,0,36
124,2.5,1.2,109,328,44.9,3,89,13,85,245,C,No,0,1845,0.458,jakob poeltl,2020-21,1193,0,48
13,2.3,0.9,111,217,43.1,1,83,15,80,220,F,No,0,1867,0.722,joe ingles,2020-21,531,0,47
31,1.5,-0.7,109,379,44.3,34,120,11,80,225,F,No,0,2471,0.366,wilson chandler,2014-15,857,0,55
88,2.1,0.5,109,294,44.7,1,60,7,80,250,F,No,0,1455,0.278,isaiah stewart,2020-21,891,0,41
46,1.4,0.1,113,213,46.3,7,92,22,81,233,C,No,0,1529,0.375,khem birch,2020-21,743,0,46
33,0.9,-2.4,115,226,49.4,0,137,0,80,199,F,No,0,3048,0.378,andrew wiggins,2016-17,1097,0,82
25,1,0.3,114,130,44.3,5,51,12,78,236,F,No,0,1138,0.5,grant williams,2020-21,479,0,32
40,1.4,0.2,112,224,49.5,6,143,51,77,201,G,No,0,1643,0.354,kent bazemore,2018-19,669,0,87
26,3.2,1.1,110,641,46.3,7,170,32,75,200,G,No,0,2369,0.472,russell westbrook,2020-21,722,0,90
55,2.7,1.9,109,344,45,0,161,22,81,230,F,No,0,1887,0.528,kyle anderson,2020-21,751,0,83
96,1.4,0,115,360,46.1,1,91,18,82,235,F,No,0,1782,0.431,richaun holmes,2020-21,896,0,36
50,1.4,-0.4,109,285,46.6,0,77,0,84,265,C,No,0,1419,0.39,kosta koufos,2016-17,571,0,36
48,2.7,0.7,106,270,47.3,22,75,18,79,240,F,No,0,1580,0.583,montrezl harrell,2020-21,768,0,48
69,1.4,-0.6,107,254,47.2,0,112,0,84,265,C,No,0,1482,0.402,kosta koufos,2015-16,725,0,38
14,1.2,0.5,115,172,45.9,1,119,19,78,226,F,No,0,1513,0.569,solomon hill,2020-21,590,0,50
26,2,-0.4,109,342,47,2,104,19,82,250,F,No,0,1372,0.639,bobby portis,2020-21,724,0,52
27,2.6,1,109,152,47.8,1,114,20,77,204,G,Yes,0.002,1902,0.583,kentavious caldwellpope,2020-21,605,0,60
37,1.2,-1.1,113,296,45.4,0,73,53,81,225,F,No,0,2346,0.561,wilson chandler,2017-18,760,0,44
52,1.9,0.1,113,316,45.2,1,89,20,78,225,F,No,0,1932,0.458,miles bridges,2020-21,820,0,46
7,1.4,0.1,111,148,41,0,44,11,79,230,F,No,0,1154,0.722,georges niang,2020-21,390,0,21
41,2.2,1.4,110,255,48.9,19,147,15,80,235,F,No,0,1652,0.431,thaddeus young,2020-21,745,0,75
12,1.2,-1.5,111,300,52.2,0,69,15,81,250,F,No,0,1508,0.329,zach randolph,2017-18,690,0,41
35,2,-0.7,113,276,44.9,0,123,31,78,223,G,No,0,1999,0.5,jaylen brown,2020-21,712,0,70
62,2.6,0.6,102,390,46.2,0,75,11,82,265,C,No,0,1196,0.681,dwight howard,2020-21,585,0,28
18,1.8,0.3,108,218,46.4,5,61,11,81,245,F,No,0,1200,0.583,markieff morris,2020-21,453,0,24
49,0.7,-2.2,113,186,45,1,153,7,80,199,G,No,0,2845,0.354,andrew wiggins,2015-16,1039,0,81
19,1.6,-1,112,115,45.2,2,58,15,77,205,G,No,0,1461,0.681,shake milton,2020-21,489,0,38
31,1.2,-0.6,110,236,42.9,15,102,0,80,225,F,No,0,1927,0.439,wilson chandler,2013-14,685,0,43
7,2.5,-0.4,110,227,45.5,1,86,31,76,194,G,No,0,1818,0.722,jordan clarkson,2020-21,560,0,61
20,2.2,1.7,110,201,47.6,4,245,48,73,190,G,No,0,1796,0.472,tj mcconnell,2020-21,630,0,129
14,1.1,-1.2,117,205,46.4,3,82,21,78,220,G,No,0,2141,0.667,joe harris,2020-21,717,0,48
88,2.1,-0.2,112,435,46.4,1,83,19,83,243,C,No,0,1864,0.306,jarrett allen,2020-21,943,0,32
41,2.9,-0.1,109,309,46,3,42,20,82,221,F,No,0,1954,0.583,kyle kuzma,2020-21,633,0,34
63,1.3,1,110,182,47.5,0,58,7,84,250,C,No,0,979,0.472,alex len,2020-21,571,0,19
14,1.2,-1.7,116,209,45.4,17,63,20,77,205,G,No,0,1985,0.583,tim hardaway jr,2020-21,731,0,28
29,1.8,-0.8,114,253,44.7,0,77,23,77,200,G,No,0,2034,0.431,zach lavine,2020-21,727,0,46
7,1.3,0.9,112,119,45.9,1,91,17,72,196,G,No,0,1222,0.528,tyus jones,2020-21,388,0,63
30,1.8,1.5,113,204,48.8,2,186,30,77,185,G,No,0,1748,0.431,delon wright,2020-21,602,0,98
13,2.1,0.4,112,299,47.2,3,143,32,76,203,G,No,0,1814,0.639,donte divincenzo,2020-21,707,0,72
21,1.3,-0.7,116,173,45.7,0,156,29,75,215,G,No,0,2205,0.583,norman powell,2020-21,644,0,83
28,1.1,-1.5,113,357,43.3,0,103,0,80,225,F,No,0,2197,0.488,wilson chandler,2016-17,827,0,49
12,1.1,0.1,114,112,46.5,1,77,15,79,210,G,No,0,1307,0.431,tomas satoransky,2020-21,430,0,41
49,0,-2,114,240,47.3,2,173,13,80,199,F,No,0,2969,0.195,andrew wiggins,2014-15,1001,0,81
0,1.1,-0.6,116,204,46.3,11,71,12,73,190,G,No,0,1697,0.583,jalen brunson,2020-21,531,0,34
37,1.9,-0.6,117,339,48.1,0,136,24,80,230,F,No,0,2193,0.268,jeremy sochan,2023-24,1106,0,59
52,1.8,3.4,114,106,48.1,1,220,21,77,201,G,No,0,1487,0.256,matisse thybulle,2023-24,543,0,110
53,2,1.2,109,231,47.9,2,92,18,80,215,F,No,0,1415,0.528,brandon clarke,2020-21,555,0,59
29,3.2,0.3,112,309,47.6,4,143,30,82,220,F,No,0,2337,0.573,franz wagner,2023-24,847,0,79
19,0.8,-1.3,118,251,47.1,9,113,38,74,195,G,No,0,2398,0.583,damian lillard,2020-21,765,0,58
18,0.8,0,116,124,47.5,3,86,20,75,200,G,No,0,1446,0.278,cory joseph,2020-21,592,0,61
44,1,-1.6,121,255,49.9,11,126,26,79,200,F,No,0,2383,0.256,brandon miller,2023-24,1075,0,67
27,2,-0.5,114,255,47.8,12,143,29,73,190,G,No,0,2383,0.458,terry rozier,2020-21,926,0,88
34,1.5,2.2,113,100,46.7,2,152,13,77,201,G,No,0,1200,0.402,matisse thybulle,2022-23,418,0,80
20,1.7,0.5,112,269,46.2,3,67,16,77,209,G,No,0,1575,0.639,pat connaughton,2020-21,703,0,48
15,1.7,0.2,116,200,46.8,5,89,19,77,245,F,No,0,1920,0.659,pj tucker,2022-23,726,0,37
27,1.8,-1.1,113,143,47.4,2,185,29,79,225,G,No,0,1997,0.528,dillon brooks,2020-21,871,0,80
17,1.2,1,112,128,47.8,8,78,9,73,183,G,No,0,1079,0.708,cameron payne,2020-21,360,0,35
26,1.5,0.2,112,238,46.8,1,115,21,76,202,G,No,0,1451,0.667,bruce brown,2020-21,635,0,58
104,2.2,0,111,243,45.2,0,76,13,84,282,C,No,0,1902,0.639,brook lopez,2020-21,1366,0,41
16,2.3,-0.5,116,259,49.2,2,159,22,82,220,F,No,0,2609,0.415,franz wagner,2022-23,911,0,80
80,2.4,1.5,112,405,49.2,5,255,33,79,209,F,No,0,2243,0.583,robert covington,2020-21,984,0,94
63,1.9,-0.2,112,349,48.9,11,80,14,81,235,F,No,0,1848,0.569,john collins,2020-21,835,0,32
27,1.2,-0.9,116,229,48.3,5,77,15,80,235,F,No,0,1835,0.667,jeff green,2020-21,806,0,34
18,1.4,-0.2,113,166,47.9,5,65,18,80,210,F,No,0,1437,0.708,cameron johnson,2020-21,466,0,35
14,0.9,-0.5,119,116,48.3,0,64,16,78,220,F,No,0,1401,0.5,aj griffin,2022-23,555,0,42
73,2.5,3.3,108,109,40.5,1,248,29,77,201,G,Yes,0.002,1685,0.622,matisse thybulle,2021-22,644,0,112
24,1.7,-1.4,115,211,47.9,7,122,25,75,207,G,No,0,2147,0.472,bradley beal,2020-21,748,0,71
24,1.4,1,111,205,48.6,2,56,13,81,222,F,No,0,1161,0.542,kevon looney,2020-21,665,0,18
14,2.6,1.4,110,287,43.5,10,99,29,77,245,F,No,0,1981,0.646,pj tucker,2021-22,841,0,57
13,1.4,-0.5,111,112,46,1,62,14,75,190,G,No,0,1243,0.569,immanuel quickley,2020-21,415,0,32
29,0.8,0.3,116,93,49.2,4,106,28,76,213,G,No,0,1197,0.319,josh okogie,2020-21,508,0,52
31,1.9,-0.3,114,272,43.1,2,147,28,82,220,F,No,0,2429,0.268,franz wagner,2021-22,914,0,69
6,1.9,-0.1,110,152,45.6,0,104,15,75,195,G,No,0,1484,0.569,elfrid payton,2020-21,654,0,43
7,2.2,-0.3,113,352,47.5,1,152,20,79,222,F,No,0,2269,0.639,khris middleton,2020-21,831,0,74
42,2.6,0.9,110,402,50.2,16,151,30,83,240,F,No,0,1997,0.236,kelly olynyk,2020-21,1049,0,77
76,1.3,-0.2,113,240,49.2,7,76,14,81,264,C,No,0,1347,0.319,naz reid,2020-21,787,0,34
30,0.6,-0.8,118,161,50.7,4,135,22,78,180,F,No,0,2057,0.366,justin holiday,2021-22,722,0,59
70,2.7,4.5,103,94,41.7,1,202,28,77,201,G,Yes,0.002,1298,0.681,matisse thybulle,2020-21,528,0,102
68,2.2,2.4,103,238,49.7,2,55,14,81,265,F,No,0,1039,0.722,derrick favors,2020-21,708,0,34
43,1.8,-0.1,114,224,43.6,2,156,28,78,180,F,No,0,2183,0.472,justin holiday,2020-21,895,0,71
13,2,-1.4,114,247,46.5,1,74,21,77,206,G,No,0,2270,0.708,devin booker,2020-21,817,0,52
44,2.6,1.8,107,206,43.9,3,148,23,78,180,F,No,0,1826,0.616,justin holiday,2019-20,741,0,88
13,0.8,-0.9,115,74,46.7,0,97,15,72,185,G,No,0,1176,0.472,aaron holiday,2020-21,499,0,45
