#,Player,Height,Wingspan,Length
93,"Bruno Fernando
ATL | C","6'8.75""","7'3.25""",6.5
94,"Mark Williams
CHA | C","7'0""","7'6.5""",6.5
95,"Xavier Tillman
BOS | PF","6'7.5""","7'2""",6.5
96,"Cameron Payne
PHI | PG","6'0.75""","6'7.25""",6.5
97,"Nikola Vucevic
CHI | C","6'10.25""","7'4.5""",6.25
98,"Cade Cunningham
DET | SG","6'6""","7'0.25""",6.25
99,"Jeff Green
HOU | PF","6'7""","7'1.25""",6.25
100,"Blake Wesley
SAS | PG","6'3""","6'9.25""",6.25
101,"Olivier-Maxence Prosper
DAL | PF","6'6.75""","7'1""",6.25
102,"Immanuel Quickley
TOR | PG","6'2""","6'8.25""",6.25
103,"Herbert Jones
NOP | SF","6'6""","7'0.25""",6.25
104,"Rui Hachimura
LAL | PF","6'7.75""","7'2""",6.25
105,"Bol Bol
PHX | C","7'0.75""","7'7""",6.25
106,"Brook Lopez
MIL | C","6'11.25""","7'5.5""",6.25
107,"De'Anthony Melton
PHI | SG","6'2.25""","6'8.5""",6.25
108,"Amen Thompson
HOU | SG","6'5.75""","7'0""",6.25
109,"E.J. Liddell
NOP | PF","6'5.5""","6'11.75""",6.25
110,"Myles Turner
IND | C","6'9.75""","7'4""",6.25
111,"Dominick Barlow
SAS | PF","6'8.75""","7'3""",6.25
112,"Ausar Thompson
DET | SG","6'5.75""","7'0""",6.25
113,"Caleb Martin
MIA | SF","6'4""","6'10.25""",6.25
114,"Anthony Edwards
MIN | SG","6'3""","6'9""",6
115,"Usman Garuba
GSW | PF","6'8""","7'2""",6
116,"Christian Wood
LAL | PF","6'9.25""","7'3.25""",6
117,"Cason Wallace
OKC | PG","6'2.5""","6'8.5""",6
118,"JD Davison
BOS | PG","6'0.5""","6'6.5""",6
119,"Justin Holiday
DEN | SG","6'5.5""","6'11.5""",6
120,"AJ Griffin
ATL | SF","6'5.5""","6'11.5""",6
121,"Kris Dunn
UTA | PG","6'3""","6'9""",6
122,"Boban Marjanovic
HOU | C","7'4""","7'10""",6
123,"Orlando Robinson
MIA | C","6'10""","7'4""",6
124,"Victor Oladipo
| SG","6'3.25""","6'9.25""",6
125,"Devonte' Graham
SAS | PG","6'0.25""","6'6.25""",6
126,"Derrick Jones Jr.
DAL | PF","6'6""","7'0""",6
127,"Gary Payton II
GSW | SG","6'2""","6'8""",6
128,"Josh Christopher
| SG","6'3.25""","6'9.25""",6
129,"Jalen Hood-Schifino
LAL | PG","6'4.25""","6'10.25""",6
130,"Cam Reddish
LAL | SF","6'6.5""","7'0.5""",6
131,"Ricky Rubio
| PG","6'3""","6'9""",6
132,"Larry Nance Jr.
NOP | C","6'7.5""","7'1.5""",6
133,"Robin Lopez
| C","6'11.5""","7'5.5""",6
134,"Malaki Branham
SAS | SG","6'4""","6'10""",6
135,"Dejounte Murray
ATL | PG","6'4""","6'10""",6
136,"Nathan Knight
| PF","6'8""","7'2""",6
137,"Markelle Fultz
ORL | PG","6'3""","6'9""",6
138,"Bam Adebayo
MIA | C","6'8.75""","7'2.75""",6
139,"Chet Holmgren
OKC | C","7'0""","7'6""",6
140,"Damian Lillard
MIL | PG","6'1.75""","6'7.75""",6
141,"Jonas Valanciunas
NOP | C","6'11""","7'5""",6
142,"Otto Porter Jr.
| PF","6'7.5""","7'1.5""",6
143,"Dereck Lively II
DAL | C","7'1""","7'7""",6
144,"Steven Adams
HOU | C","6'10.75""","7'4.5""",5.75
145,"Maxwell Lewis
LAL | SG","6'6.25""","7'0""",5.75
146,"Peyton Watson
DEN | SF","6'6.75""","7'0.5""",5.75
147,"Bruce Brown
TOR | SG","6'3.25""","6'9""",5.75
148,"TyTy Washington Jr.
MIL | PG","6'2.25""","6'8""",5.75
149,"Ochai Agbaji
TOR | SG","6'4.5""","6'10.25""",5.75
150,"Onyeka Okongwu
ATL | C","6'8.25""","7'2""",5.75
151,"Marcus Sasser
DET | PG","6'1.25""","6'7""",5.75
152,"Luguentz Dort
OKC | SG","6'2.75""","6'8.5""",5.75
153,"Thaddeus Young
PHX | PF","6'5.75""","6'11.5""",5.75
154,"James Wiseman
DET | C","6'11.5""","7'5""",5.5
155,"Jaden Ivey
DET | SG","6'3.5""","6'9""",5.5
156,"Jordan McLaughlin
MIN | PG","5'11""","6'4.5""",5.5
157,"Toumani Camara
POR | PF","6'7""","7'0.5""",5.5
158,"Damian Jones
CLE | C","6'10.25""","7'3.75""",5.5
159,"Russell Westbrook
LAC | PG","6'2.25""","6'7.75""",5.5
160,"Bogdan Bogdanovic
ATL | SG","6'5.5""","6'11""",5.5
161,"Neemias Queta
BOS | C","6'10.75""","7'4.25""",5.5
162,"Cody Martin
CHA | SF","6'4.75""","6'10.25""",5.5
163,"Buddy Hield
PHI | SG","6'3.75""","6'9.25""",5.5
164,"Jaden Hardy
DAL | SG","6'3.5""","6'9""",5.5
165,"Nickeil Alexander-Walker
MIN | SG","6'4.25""","6'9.5""",5.25
166,"Jaxson Hayes
LAL | C","6'10.25""","7'3.5""",5.25
167,"Joel Embiid
PHI | C","6'11.75""","7'5""",5.25
168,"Josh Green
DAL | SG","6'4.5""","6'9.75""",5.25
169,"Joshua Primo
LAC | SG","6'4""","6'9.25""",5.25
170,"Jalen Pickett
DEN | PG","6'2""","6'7.25""",5.25
171,"Daniel Gafford
DAL | C","6'9.25""","7'2.5""",5.25
172,"Obi Toppin
IND | PF","6'8.75""","7'2""",5.25
173,"Precious Achiuwa
NYK | PF","6'7.5""","7'0.75""",5.25
174,"Richaun Holmes
WAS | C","6'8.25""","7'1.5""",5.25
175,"Aaron Wiggins
OKC | SG","6'4.5""","6'9.75""",5.25
176,"Dorian Finney-Smith
BKN | SF","6'6.5""","6'11.75""",5.25
177,"Moussa Diabate
LAC | C","6'9.25""","7'2.5""",5.25
178,"Taurean Prince
LAL | SF","6'6.5""","6'11.5""",5
179,"Jalen Smith
IND | PF","6'9.25""","7'2.25""",5
180,"Colin Castleton
LAL | C","6'11""","7'3.5""",5
181,"Andrew Wiggins
GSW | SF","6'7""","7'0""",5
182,"Devin Vassell
SAS | SG","6'5""","6'10""",5
183,"Troy Brown Jr.
DET | SF","6'5.75""","6'10.75""",5
184,"Kenneth Lofton Jr.
UTA | C","6'6""","6'11""",5
185,"Jaylen Clark
MIN | SG","6'4""","6'9""",5
186,"Evan Mobley
CLE | PF","6'11""","7'4""",5
187,"Alec Burks
NYK | SG","6'5""","6'10""",5
188,"Josh Richardson
MIA | SF","6'5""","6'10""",5
189,"Jericho Sims
NYK | C","6'10""","7'3""",5
190,"Mouhamed Gueye
ATL | C","6'10.25""","7'3.25""",5
191,"Brice Sensabaugh
UTA | SF","6'6""","6'11""",5
192,"RJ Barrett
TOR | SF","6'5""","6'10""",5
193,"Tyrese Maxey
PHI | PG","6'2""","6'7""",5
194,"Chuma Okeke
ORL | PF","6'7""","7'0""",5
195,"Keon Ellis
SAC | SG","6'3.5""","6'8.5""",5
