#,Player,Height,Wingspan,Length
408,"Moritz Wagner
ORL | C","6'10""","7'0""",2
409,"Brandin Podziemski
GSW | SG","6'3.75""","6'5.5""",1.75
410,"Anthony Black
ORL | PG","6'5.75""","6'7.5""",1.75
411,"Austin Reaves
LAL | SG","6'4.5""","6'6.25""",1.75
412,"Dennis Smith Jr.
BKN | PG","6'1.25""","6'3""",1.75
413,"Coby White
CHI | PG","6'3.5""","6'5""",1.5
414,"Marvin Bagley III
WAS | PF","6'10.5""","7'0""",1.5
415,"Maxi Kleber
DAL | C","6'9.25""","6'10.75""",1.5
416,"Sam Merrill
CLE | SG","6'3.5""","6'5""",1.5
417,"Jimmy Butler
MIA | SF","6'6""","6'7.5""",1.5
418,"Stephen Curry
GSW | PG","6'2""","6'3.5""",1.5
419,"T.J. McConnell
IND | PG","6'0.5""","6'2""",1.5
420,"Joe Harris
| SG","6'4.75""","6'6""",1.25
421,"Kenrich Williams
OKC | SF","6'6""","6'7.25""",1.25
422,"KJ Martin
PHI | SF","6'6""","6'7.25""",1.25
423,"Dalano Banton
POR | SG","6'9""","6'10.25""",1.25
424,"Kevin Huerter
SAC | SG","6'6.25""","6'7.5""",1.25
425,"Filip Petrusev
| PF","6'11""","7'0""",1
426,"Jett Howard
ORL | SF","6'8""","6'9""",1
427,"Domantas Sabonis
SAC | C","6'10""","6'11""",1
428,"Gordon Hayward
OKC | SF","6'6.75""","6'7.75""",1
429,"Corey Kispert
WAS | SF","6'6""","6'7""",1
430,"Evan Fournier
DET | SG","6'6.5""","6'7.5""",1
431,"Brandon Clarke
MEM | PF","6'7.25""","6'8.25""",1
432,"Dillon Brooks
HOU | SF","6'5""","6'6""",1
433,"Dean Wade
CLE | PF","6'9""","6'10""",1
434,"Christian Braun
DEN | SF","6'5.5""","6'6.5""",1
435,"Emoni Bates
CLE | SF","6'8.25""","6'9""",0.75
436,"Tre Mann
CHA | PG","6'3.25""","6'4""",0.75
437,"Luke Kennard
MEM | SG","6'4.5""","6'5.25""",0.75
438,"Amir Coffey
LAC | SF","6'6.75""","6'7.25""",0.5
439,"Dario Saric
GSW | PF","6'9.5""","6'10""",0.5
440,"Santi Aldama
MEM | PF","6'10.75""","6'11""",0.25
441,"Luke Kornet
BOS | C","7'1""","7'1""",0
442,"Davis Bertans
CHA | PF","6'10""","6'10""",0
443,"Lauri Markkanen
UTA | PF","6'11""","6'11""",0
444,"Deni Avdija
WAS | SF","6'8.75""","6'8.5""",-0.25
445,"Mason Plumlee
LAC | C","6'11.25""","6'11""",-0.25
446,"Ty Jerome
CLE | PG","6'4.25""","6'4""",-0.25
447,"Josh Giddey
OKC | SF","6'8""","6'7.5""",-0.5
448,"Desmond Bane
MEM | SG","6'5""","6'4.25""",-0.75
449,"Kelly Olynyk
TOR | C","6'10.75""","6'9.75""",-1
450,"Kyle Kuzma
WAS | PF","6'8""","6'7""",-1
451,"Tyler Herro
MIA | SG","6'4.5""","6'3.25""",-1.25
452,"Svi Mykhailiuk
BOS | SG","6'6.5""","6'5""",-1.5
